GeneSymbols	Overall
CST3	100
SPARCL1	88.5273496161359
MALAT1	84.7297811468827
SLC1A2	81.9354336247566
APOE	77.556485665299
MT-ND4	74.913500768701
MT-ND1	71.5777073974337
MT-CYTB	67.7748877959438
FTH1	65.4719211366841
ATP1A2	64.9590778248904
ALDOC	62.7000825506892
CD81	62.1588427828568
CLU	52.6229040627561
CPE	50.926659993516
MT-ND2	49.4954867993276
FTL1	48.3044977484246
RPL41	47.6329542749538
CKB	47.3814047614277
NDRG2	45.856152393576
GLUL	42.6003179419385
PLPP3	41.641189313836
CSPG5	41.0709439099032
GJA1	39.3952452280678
MT1	37.7692252276235
DBI	31.4816901637029
FABP7	31.2619042391751
ITM2B	31.1056958509049
MLC1	31.0816293845653
BCAN	31.0690379529008
SCD2	30.6717183384808
OAZ1	29.3021944580979
NTRK2	29.030367385593
SELK	28.8275014333256
HTRA1	28.5719920099481
LDHB	27.4046680654283
RGCC	26.6038598199902
COX8A	26.1858783924355
SERPINE2	25.3372154882831
AQP4	25.0074759191087
CALM1	24.8973908955957
RPS19	24.6923084412229
EIF1	24.2399501939669
ATP1B2	24.0985432789994
RPS14	23.8651893263288
MFGE8	23.8083516847273
MT3	23.5508517338427
NTSR2	23.2410462512704
TTYH1	23.2295944797493
GPR37L1	22.5788684674861
GPM6B	22.1922697705604
CHCHD2	21.1613248089293
TSPAN7	21.0708147422489
MT2	20.8139443728397
MMD2	20.6984876614338
PSAP	20.4017872758451
SLC1A3	20.3277010102395
SLC25A4	20.1933579491708
