GeneSymbols	Overall
BCL6B	100
DCST2	92.0896052983757
RASAL1	90.300377256242
PAIP2	88.2008328737382
FKTN	87.9772493770383
B930041F14RIK	86.5166556343755
TADA2B	85.520229699876
GM5117	81.7684983361768
GM43082	80.4718259457111
RAB20	79.4051122773799
RALY	76.1579602022538
PTPRH	73.8606154750905
GM1758	71.036118723104
1500015L24RIK	68.4642741904297
CD177	68.1550587859031
GPHN	68.0089987650585
ZFP62	66.7187205908278
GM14168	66.4408524120026
GM5414	65.2691951860364
FAM228A	63.8577504093968
PTPRK	62.1559630539847
RAB10OS	62.1408091346865
SGCB	57.8910176679597
TCF7	57.6101252021244
ZFPL1	57.4667690958252
TMEM151A	56.9955256727647
STX7	56.9389649209525
ARFGEF3	56.5798746715981
LUZP1	56.4017466425303
GM26873	55.1586330713443
ATG2A	52.664437659818
DEAF1	52.6353293204058
GM15265	52.0838465332439
RP23-310J6.2	50.4620872629225
RAPSN	50.1849837229304
ARHGAP42	49.6656484435476
FOXQ1	47.7588236013688
RP24-339E15.5	46.7687301253966
RPP21	46.5226249061934
CDK5	46.4972576462261
CTSK	46.1556833778566
MARCH11	46.0719295471433
PIGK	46.0161485107854
ADGRG3	45.7657375932651
RP23-366O14.9	45.7079386624176
ANKFN1	45.5930453502275
KCNIP3	45.5306949029426
RPS27RT	45.277535577776
AXDND1	44.9842942098098
CEP135	44.7621708505413
TMEM86A	43.3438384353452
1810026J23RIK	43.2543759916183
GALC	42.5680397689188
TMBIM4	42.4493644787146
ZDHHC18	42.3219967374449
IRF8	41.9584509823867
OLFR1281	41.861344809577
LSM4	41.2077467452232
B3GAT1	40.8877838893723
MAGED1	40.6857763823506
CYP3A13	40.2362952392939
SF3B2	40.0960553914883
ELK4	40.0725897543062
A330050F15RIK	39.8433775359955
ZFP27	39.6619320870244
CTNNBIP1	39.164496407684
BST2	38.9474781788394
FAM160B2	37.7558198039219
PIGF	37.6327437015587
KCNG1	37.5464435596226
2300005B03RIK	37.5134137245386
DMAP1	37.1919732532057
RAD54L	37.1574657653969
TSTD3	36.9838800880093
EXOSC8	36.1081558921462
H2-EB1	35.5432672302348
PLOD1	35.054237099604
SULT4A1	35.0394709323443
COLGALT1	35.029735362415
SEZ6L2	34.7279840525495
PPDPF	34.4914211852179
NEUROD6	34.3135536610157
IFT20	34.3117734206394
LYG2	33.812182908347
MRPL53	33.6026200577366
2510002D24RIK	33.3813860848732
USPL1	33.1219670130474
SDC2	33.0586453112335
SHISA3	32.360546207986
LAMP5	32.2873958710576
MCL1	32.1098244821909
PCDH18	32.0671561538961
SLC13A3	31.4324373114725
ATP8B4	31.4034802927245
YWHAB	31.0651234711077
CRYZL1	30.6197446602158
HIGD1A	30.5468021032759
RP23-21B1.4	30.4838117292385
APOL8	30.2297862936993
PABPC1	29.6729881460477
SMARCAD1	29.6130866447912
OLFR1288	29.5040704010516
ARRB1	29.3722269930537
BRAP	29.2982482266521
GM3646	29.1870927240733
ABL1	28.7718691835682
ARHGAP31	28.4779725062516
RIMS4	28.4753791111675
CFI	27.9464206883425
NKTR	27.5385090081877
LENG8	27.514469719613
DDX19A	27.0097490388007
AFAP1	26.8403933422392
ERCC8	26.4941378121037
AAAS	26.4878275028031
CLDN19	26.4166641611579
GM12649	26.3311819756933
CHST7	26.2536844788791
ISG15	25.876831850536
USP50	25.4461507020224
ANGPTL3	25.3219965922118
ADORA1	25.301004958686
PROZ	25.2326839894644
A930006L05RIK	25.2109553292799
TESC	25.2095335572886
9130221H12RIK	25.0228571229006
ARL6	24.91952166886
9530036O11RIK	24.7397131551568
WNT3A	24.7285201090416
STK3	24.7085575959961
PRAMEL7	24.7069411222165
TNKS1BP1	24.4342112162587
RP23-172P1.4	24.0003318926376
1110002O04RIK	23.8346570174196
RGS3	23.6247976304989
GM27027	23.5283786389832
GM10073	22.8912418854522
DUS1L	22.867513516686
GM43936	22.8107649853001
ZFP72	22.6781066254329
CEP55	22.5008622929863
ADAM34	22.4076658476126
GM16599	22.2623305929403
GM7568	22.2437415144083
PDZD2	22.2312627168469
SERPINA3B	22.2065913064391
PRSS36	22.0592082180747
FOCAD	21.9900191026593
PDZD8	21.9398944622204
CLK4	21.8634665441823
SUPT3	21.74468405447
UMPS	21.712367176703
1700047I17RIK2	21.5920492975793
CCL28	21.4632035342585
2310075C17RIK	21.1252345558376
FAM173B	20.9453101190835
5930430L01RIK	20.8971700859296
SDE2	20.8245186041378
GM10706	20.6571954950128
MKL2	20.6185103137813
SLC43A2	20.3332417871242
RP23-218E6.1	20.3106148186618
NR6A1	20.306999568394
PBRM1	20.2102799484734
USP39	20.183373804609
