GeneSymbols	Overall
CASP6	100
ARL8A	83.844202583518
GM9830	64.6932322688146
MBNL3	60.7890902232444
PGLS	58.5731558516476
TK1	52.1456322730055
TOMM6OS	50.8727298259025
ELOVL3	48.5498479949864
VIP	48.3310370226327
PRRG3	47.8599578562487
GLRX5	47.8319103623032
ST14	47.7384029723409
GM933	47.5995034126635
MILL1	42.1143533068024
BCL2	42.0168238704484
GM11534	41.330790408437
CCDC18	40.8301564360894
GM7903	38.7092465107632
GPR157	38.4214122720808
ATP6V0C	37.5934251826251
OLFR1308	37.5053298004421
1600002H07RIK	36.6478481711425
A330017A19RIK	35.7637293689031
BTBD18	35.1636918271268
GTF2E2	34.7437133924533
EXD1	34.2054410271939
PAIP1	33.4156420460554
2310007B03RIK	32.9439837699952
SCN9A	32.9251818447163
TRIP6	32.8916923594661
TAPBPL	32.4095848309081
ZFP960	32.1225983328201
EXPH5	31.6906940032225
TCFL5	31.6752293643488
SLC52A3	31.6713441654008
A930006I01RIK	31.0035831235392
ESPL1	30.9005502982502
KRTAP4-6	30.7519348034802
DPYSL4	30.5880062836111
ANKDD1B	30.1838866815678
GNB3	29.9660540284095
B130046B21RIK	29.8720653043267
PNLIP	29.8403513528281
CD74	29.5124189287763
CTNNAL1	29.268104814303
GM20498	29.2613444189985
FAM109A	28.3891415816406
ERCC5	28.2324868677374
GM15013	28.0915698911731
LRRC55	27.8890835993613
A930019D19RIK	27.6865091325487
BASP1	27.5966654356903
SFXN3	27.5702453738121
GM15972	27.5661990960627
GM42893	27.4103477062988
WASF1	27.2543441735197
ANKRD29	27.1536193925054
RPS12-PS3	26.6473387366433
GM5441	26.1930556724108
GM28515	26.0276985298337
SLC31A1	25.8921641584225
GM17268	25.7377070655349
SYNCRIP	25.6782390388155
CAPN3	25.4896438786146
NLRP3	25.476327120978
PYDC4	24.9399649374947
GNB1L	24.7608449984925
STAB2	24.6027061608335
NAGPA	24.5082877268368
RTCB	24.5012147048169
BLVRA	24.4096123542769
EDAR	24.0846702075292
LSP1	23.9760128865792
NDUFAF6	23.7989669811665
COLEC10	23.78919689979
ADGRA1	23.1006091481846
SSMEM1	22.8652044938936
A730046J19RIK	22.5977534541347
EXO1	21.9685548478462
HIST1H2BH	21.4407826155459
6430531B16RIK	21.3820024812902
CBY1	21.2776409074221
POLR2L	21.1652799106745
SGSM2	21.1013415679261
GDPD5	20.6876384877997
AI314180	20.6274989279758
EEF2K	20.4412939563596
HS3ST3B1	20.3258844697333
GLT8D1	20.3207975305376
2410080I02RIK	20.3026594938663
GM15294	20.1609018754957
TEKT5	20.0979491753773
