GeneSymbols	Overall
JADE2	100
CLEC4A1	94.1980640085102
NIPAL3	80.6525093984728
RPL22L1	79.3356027018489
NXPH4	78.7232519229472
FBLL1	66.8526240693878
GM11201	64.9662588557362
MYZAP	63.4891865646998
E2F4	61.9743739414386
ZFP40	60.7345002102881
DDX6	59.7501055906939
GM3033	59.2838350285702
4930553P18RIK	57.0696587372794
TM2D2	57.0042406399414
RPGRIP1	52.7108713168151
ZC3HAV1	51.8453351473488
SLC30A9	51.5476354576397
TCF15	50.747286799215
TBCA	49.9611258322289
ZFP326	49.5106080480701
ZFP248	48.3204009313976
SMIM7	46.6204425175937
SERPINB6B	45.9858283612868
PDCD4	45.9329151893496
MAF1	45.8782970059399
SLC25A51	45.6705445264165
SCLY	45.566103728035
VIMP	45.2506239370538
F8	44.6511404834244
1700022A22RIK	44.6084959925745
VWC2L	43.0869584387856
GM15537	42.7318298638427
FAT3	42.2343666635375
MICU3	40.9304247400901
CCDC172	39.8057070219075
CBX5	39.7021143255679
COX7B2	38.9455907445224
GM37679	38.5605491784052
SENP6	38.5015142910879
TRH	38.3383558167989
TMEM45A2	38.2407452427706
BARHL2	37.5778368440244
4930589P08RIK	35.3425992961226
ZFP407	35.0394932029688
GM26584	34.3737615836094
RGS13	33.5746863739131
PKM	33.4336838626774
AGPAT9	32.8669424045592
OLFM1	32.4546894279878
IDI1	32.3625239567026
PRKAR2B	32.2661598736859
B3GALT4	31.7353184526974
DPP7	31.2966634540017
TMEM181A	30.0988482743385
RABL2	30.0580484042289
PURG	29.5183201429448
KRT26	29.2784975332443
GM28045	28.753988767741
CLPX	28.6787912112292
SPRY3	27.979272788243
DACH2	27.9507617260062
ENDOD1	27.4622463635696
GM11274	27.1508450414724
3222401L13RIK	26.6822892359371
RPS15	26.2044651152306
TRNAU1AP	25.6665536347019
CAB39	25.6065134420058
A230065H16RIK	25.4338815061008
EFCAB10	25.4171104105286
MMRN2	25.4152926166613
5430403G16RIK	24.7878557774114
AP4M1	24.6734831412499
DUSP3	23.8830086693537
TMEM88	23.1649521459999
TMEM109	22.840994782467
SLC45A1	22.771171921985
CHERP	22.6929651282103
PNP	22.5786935770423
D630008O14RIK	21.8821238831898
POU2AF1	21.7629840556848
ABCC10	21.5188767080392
BFAR	21.5136404812979
ZFP711	21.3453664491594
HMGCS2	21.2394621908391
TCP10B	20.9436372001184
SGK2	20.8890292484487
RPS6KB1	20.2254955789022
AFAP1L2	20.2125634928593
KLHDC4	20.1963158931196
CHST14	20.1520167371707
