GeneSymbols	Overall
AGL	100
H2-AA	76.5742197328717
GM26688	64.216407254284
PISD	64.1741335313301
GM906	61.5563244546264
FAM166B	59.6808811802845
TMEM107	58.9669484978368
1810062G17RIK	58.6387230072825
PRL8A8	55.3765882258019
CUEDC1	52.7148709870057
PPP1R12C	51.3843702817399
CHAF1A	47.5808702666101
TNFAIP1	46.6172267372754
BOLA1	46.1261568862228
0610025J13RIK	43.067469262457
GM13307	40.4282670119084
LPAR2	39.6780317483627
GM14420	39.6667191547452
PAX5	39.6157561060391
PPP1R3E	39.3297409879573
HSPA12B	38.4453224764193
GM37422	38.2204357085472
GIP	37.5966259995093
4930503L19RIK	37.4124764723025
VNN1	36.9863796696595
4930445N18RIK	36.7743014733783
A630095E13RIK	35.9338165486154
GM13762	33.1436232445129
NLRP4C	33.0224193789192
5430427N15RIK	32.179091100848
CHRNB1	32.0923785476697
4933428P19RIK	31.9557002383168
GM28913	31.3174440720865
NAGA	31.2384059280716
IGSF21	30.0112751290532
SEC14L4	29.7891603869353
QPCT	28.1049134907942
GM28172	27.2296479316452
PLCD4	27.1899712529494
GM42948	26.9378060770241
BRSK1	26.8953913847021
ANGPTL7	26.8291860518664
GM43672	26.6070789283962
SF1	26.5220653356725
OLFR544	26.4360747200516
CPED1	26.1821666681358
TEP1	26.0651155603763
GM3685	25.6263079623348
RNF113A1	25.40204819949
TDRD6	25.3532939151001
MT-ND3	24.5879472138806
CCR4	23.9837159410631
SRSF1	23.6184194473466
SPRYD7	23.5338893286065
GM27188	23.4237975645937
ADGB	23.3564998110263
ATP13A5	23.2145314938728
RSPH6A	23.1820827564978
VAX2OS	23.1761690752418
HIST2H2BE	22.9878291073061
MYT1	22.8439427597835
NUBPL	22.6550871681909
ZFP407	22.2690957484091
STAP1	21.7968806652593
CHD1L	21.771642716062
GM17334	21.7206914997945
DHRS4	21.6768659866465
PIGN	21.4050645981641
AA474331	21.3986087784018
GM11175	21.1603422163825
KCNA7	21.1027282488285
SH3RF3	20.7565060204686
VIP	20.6997872732531
MS4A14	20.6160685599375
HBA-A1	20.5878515345076
4831440E17RIK	20.2578358497736
CENPL	20.1783545507084
1700001F09RIK	20.1693776958755
H2-AB1	20.1123835453419
TMEM9	20.0843069787261
DNASE2A	20.0122753376311
