GeneSymbols	Overall
AEN	100
GM4631	92.1012388227057
MFI2	82.8417367347118
AP4M1	77.165287935372
GYS2	73.9181587403124
SH3GLB2	71.8455926195339
GM12531	70.3302063656615
MT-CO3	66.3012797951597
PGAM1	66.2598559735017
GM10735	64.5772398461113
SNRNP27	64.5253474495012
FARS2	63.5491205562354
DLC1	62.4751015586987
HNRNPH3	61.3058229708389
AMD1	60.0805091582884
EFNA5	55.7250587617968
ZBTB18	54.3460842224473
SV2B	54.2543953230089
KLHL31	53.9300219986501
CCL1	52.3563875740161
1700013H16RIK	52.3322134320744
UBALD1	52.2596165223006
CAV3	51.9461491571344
PROCR	51.2522133121497
GM2016	51.123392172994
4930519G04RIK	48.5072912156428
BCAR1	47.0555102667011
HS6ST1	46.8933393208196
4930480K23RIK	46.7317187827535
CHIA1	46.6818162271778
GM12169	46.6349293506073
MARF1	45.3235301394128
TOX2	44.0757757427351
ETV5	43.4745574115984
MXD1	43.3433805537405
MCM7	43.2658764424705
CUEDC1	43.1730220783031
UBE2I	42.526891193708
FXYD6	42.3892236554355
ZGLP1	42.3126975509331
CYP26B1	42.2966833731834
1700105P06RIK	41.8358907617702
SH2B2	41.3231389754909
EXT1	40.7693621948563
GFRA2	40.6566279019028
DCTN5	39.1878500800416
CACFD1	39.04065144539
ACSM3	38.4097399241116
GM14296	38.3123118499478
CMC4	37.9974876236897
CERKL	37.5310709941658
FBXL6	37.0966404922837
GALNT9	36.5991658274453
MRPL21	35.7042395510295
FAM83G	35.6389344619429
CRAT	34.9001358234943
DYRK2	34.7725831581705
RAB20	34.620239532718
OLFR166	34.1356342023671
LOR	34.1065185829248
ST6GALNAC5	33.7428528174964
SASH3	33.1762292213734
GM9493	32.6880519250335
RPS6KA6	32.5838739370952
EIF4ENIF1	32.4343859365093
HACD2	31.6166153901465
ACBD4	31.6032183602352
TANC2	30.9449160395559
MED24	30.6806374492508
NOV	30.587688888955
GM20537	30.1526683241648
LPL	29.89968878012
SLU7	29.4771418207716
CRELD2	29.3356659940065
CEP83	29.2219300669781
CHMP7	29.005004390427
GM16793	28.8815315256514
LBHD1	28.8128607227358
TMEM69	28.5403458838458
PHF11D	28.4235221342977
1700025B11RIK	28.3903659091428
MORN4	28.0722828023391
POGZ	27.9789458884033
GMPPB	27.9102834966396
ADAM11	27.7815884978558
GM15023	27.6491010094633
CNRIP1	27.5512666893712
GM4419	27.421465213385
CCSER2	27.4156604007414
PTCD3	27.4080481578232
RUBCN	27.3875315462801
DCAF8	27.3649592117873
FAM228B	26.8989170362769
FHAD1OS2	26.0731518615571
OLFR749	26.0423838884727
C330013J21RIK	25.8526583385032
THEGL	25.3171619218823
PFN4	24.7340562219652
RPRD1A	24.5949083179593
GM16596	24.3056949540839
PIGG	23.3127924577757
KRTDAP	23.2353987986342
TNFAIP8L1	23.1799808101976
CEP112	23.1033596085093
BEX2	22.9552105792456
CYP1B1	22.8950914507541
SLC18A1	22.5859860366897
3110035E14RIK	22.5059304827316
5830468F06RIK	22.3018172147311
JRK	22.2784904635744
GRIPAP1	22.0247224074395
CCL2	21.7406639792979
NR4A3	21.6545571932082
SNX19	21.592265202494
GM15226	21.4937406322134
FLRT3	21.4474767367241
MYBL2	21.4093720674906
9430069I07RIK	21.2300865321786
RIOK1	21.1431304408014
NRP1	21.111065786351
1700087M22RIK	20.9888888780353
HNRNPA3	20.9843639409605
GM13211	20.8007752833577
GM14327	20.797404275174
ZFP213	20.7753558270615
IDO1	20.3487872359448
