GeneSymbols	Overall
TEX12	100
SDHAF3	91.889518307996
SPATA6	90.332288120157
RP23-81F19.2	89.7411488734953
MAL	85.568460742934
LPAR1	84.1407645450884
VKORC1L1	81.8315553633991
REEP3	70.8020923974476
GM454	68.6043120403804
SSU72	65.3021895315292
THAP4	53.307699744195
AKAP13	51.8322735672538
MOG	43.7633474734481
LST1	43.5847109338092
IKZF2	41.9285829705056
MS4A6B	38.650709396075
MICALL1	37.6342858913186
RAB44	35.8611598744648
PRKD1	33.531901698983
GM10376	28.2716402851715
GPR155	26.8271737529125
SMCO3	25.7135576613156
1700015G11RIK	25.5569985041556
ELF1	22.6189522650061
RAE1	22.6093941006006
CNTN2	22.2235678484429
INO80DOS	20.44354585673
GM13327	20.1526881422664
