GeneSymbols	Overall
MALAT1	100
APOE	81.8884994883731
ITM2B	80.2426978396574
C1QA	67.5334956006362
TMSB4X	61.9964729272229
CST3	59.548377854586
RPS29	58.0972334742077
H3F3B	55.421973495433
RPS19	55.0637767044571
FTH1	53.8381324224133
RPS23	52.7567462526388
RPS11	52.1024041125418
RPS4X	51.9450965255859
MT-ND1	51.7221416515592
C1QC	46.7798243011772
RPS27	46.4859627781862
CTSS	46.1500440205558
TYROBP	44.7588007834781
UBB	44.41819847414
RPL41	42.0215937845527
FAU	40.6618018217138
RPL32	39.6119275219765
RPS18	39.3162129161994
SEPP1	38.6010522883517
JUNB	37.4958583881242
RPL37A	37.3601325891016
FTL1	36.3842105108838
ARPC1B	34.800115319753
RPS25	33.8653783428792
MT-ND4	33.3840496511878
RPS5	33.3425464744176
MT-CYTB	32.7936303446993
RPS9	31.3808754941828
RPL13A	31.3290639104966
RPS27A	30.5637533298321
LAMP1	30.2372915679314
RPL6	29.675436448355
RPL18A	29.2047054286157
TRF	29.0717359406929
RPL13	28.8710592579648
CTSB	28.7855995651817
RPL37	28.660020400563
SLC25A5	28.6541308618527
EIF1	28.4981264404918
HEXB	28.0118921139588
RPL36	28.0052353629352
RPL10	27.890498795943
RPL10A	27.8032145775708
SPARC	27.0802174996903
C1QB	26.8777919513909
RPS14	26.3053818407544
RPL23A	25.8916870973792
RPL9	25.494869205966
MT-ND2	25.4053607295165
RPS6	24.9366018588754
GLUL	24.8617219635731
CD81	23.9189786649329
JUN	23.8720410037656
RPL3	23.5902106097895
RPS7	23.4124570984376
CSF1R	22.8995117882881
SELK	21.7916568769606
RPL36A	21.6685943473026
ARPC2	21.3370731151839
RPL7	21.217511663425
CLTA	21.1198048904467
RPL17	20.8745906322592
GATM	20.5015110227963
RPLP0	20.2577819116484
