GeneSymbols	Overall
TADA2B	100
TMEM86A	98.4753324175119
HIF1AN	97.3620985688886
FAM173A	91.4828804131763
HIST1H1C	89.3429074845282
UTP14A	83.7111475768483
MUC15	83.6098705094656
GALC	82.5013229389656
PABPN1L	76.3225551958895
LYG2	68.2554836291196
ZIM3	67.6338868794449
PAIP2	66.4443145467628
KCNG1	66.4152564140541
ABI3	64.2564381100939
GM16302	62.4646266685088
GM26555	62.4575747754108
GM42949	62.3235263953009
FBXW17	58.539270137032
1700086O06RIK	57.7082964529099
LCN9	55.7927715768316
RP24-339E15.5	55.7518958967635
SDE2	55.216692245683
OLFR1310	55.1249361355023
GM17399	55.0463107359755
KCNIP3	54.1702987201728
ARFGEF3	54.0138431047074
USP50	52.2828568634401
TMEM192	50.6976027934789
DOPEY2	50.1083465568615
IFNGR1	49.9376346186037
ARHGAP42	49.7027922710747
SH3GL2	49.2432406227292
GM1758	49.2080674293638
GM14308	48.9107085548042
ZSCAN21	48.5592887425034
CTSK	48.2195785563704
4930570G19RIK	47.8851209020811
CAR15	47.8817199077078
MARCH11	46.9775409114407
MPDU1	46.9667054650145
GM10634	46.8430627760825
PTPRH	46.8052550092261
DDX19A	45.6323824427102
RP23-218E6.1	45.6292458130281
PDLIM4	44.1936441742658
AF251705	43.7308023730835
9630028H03RIK	43.0490564898007
CHST7	42.875273114735
ARHGAP22	42.5982902053399
MEFV	41.6049500975966
DCST2	41.4584046790672
GM28730	40.5113843101143
4930469G21RIK	40.0858720130939
APOL8	39.6105479166144
9530026P05RIK	39.4617717221856
A230020J21RIK	39.2993821661783
CAMK2G	38.8778314088963
TIMM21	38.8240322907797
ADIPOR2	38.5668634742894
CHD1	38.557499681988
SPI1	38.2409477302501
FERMT3	38.2319480681764
PRPF18	37.9117173061239
EFNB2	37.1463040052752
ANKFN1	36.8749087468668
VMN1R206	36.8127279438179
RGS19	36.6108223156392
UCK1	35.884879325496
CCL28	35.7565039576292
UBFD1	35.7406371857223
NKTR	35.6649267920042
LPCAT2	35.2582703482438
CSTL1	34.7919630409057
GM5117	34.6341729775087
GM9837	34.6294162405066
GM5039	34.4933598917152
ACSF2	34.3420601414801
USPL1	33.6611675837728
SDC2	33.4927484133934
RALY	33.2868121176199
GDF15	33.1705584298817
TRAF5	33.0056312302438
GM37759	32.8932470984494
GM16599	32.8132727780729
GM27201	31.9745270374864
FGF16	31.9624214365563
ITGB2	31.9435253633504
ZNRF2	31.6878580167936
FKBP1B	31.5284955841338
CERCAM	31.1660253770789
GM20757	30.6277410177026
FAN1	30.6179926455057
GM13816	30.573609775034
4930588K23RIK	29.9548089635593
OPALIN	29.8082364025866
WDR5B	29.3649386953549
FAM69C	29.3310336678813
STX7	29.1808813924931
SERPINA3G	29.100686184546
FANCL	29.0601502914881
FAM227A	28.8278169592992
CLDN19	28.7678059860846
CD177	28.4575196438894
FAM177A	28.1625762824744
FKTN	28.0567683814709
ADM2	27.8832085009676
SH3D21	27.7818758549661
AQP3	27.7700241469251
TMEM200A	27.6218904548686
YWHAB	27.1776346247406
MEGF6	27.1707003741981
ADAM34	27.1401790005426
ZMYND19	27.0698758277424
ZYG11B	26.9920902935465
MOS	26.8393151196047
RPUSD4	26.3938844995197
RAB10OS	26.1995647990612
COL7A1	26.038053798868
CLN8	25.7192458634211
1810011H11RIK	25.2218784742109
GM14461	25.2134313735986
GPR84	24.8859848185932
DOCK4	24.5729009124289
2810004N23RIK	24.0960347669885
MRS2	23.7229140900803
IRF3	23.6977708375434
TMEM150A	23.6655072500601
BCL2A1B	23.1603375802015
NADSYN1	22.9093311882926
GM10010	22.8861651018094
SALL1	22.8848409741359
UGT8A	22.7559633249382
TVP23B	22.5235502155774
MARCH6	22.4988000601639
LAG3	22.4683253270428
TMBIM4	21.8451103869403
SGCB	21.7476821218774
AFAP1	21.6217359340958
DCUN1D1	21.4338601882437
IRF5	21.4226355950116
CD300A	21.3352121611386
AASDH	21.0178281265104
A230046K03RIK	20.8591076806289
HMHA1	20.7168627366849
GOLPH3	20.6977763036293
SCHIP1	20.479523534612
GM13373	20.2968177804579
DGKA	20.1864714819644
SHISA3	20.016242278528
