GeneSymbols	Overall
ZFP68	100
PJA2	77.9850537011028
ZFP960	75.4090863097178
A830008E24RIK	74.3591052349188
WASF1	63.4256857861178
DNMT3AOS	62.565488178325
4933406I18RIK	62.5140818115064
GM28515	62.1391629075004
ELOVL3	60.6090075225245
GABBR1	59.496102993628
TAPBPL	58.6396892717158
NUP188	57.8966388467265
ATP6V0C	57.8434615691078
GM11508	56.1609622870745
EXPH5	55.3524603368371
CAPN3	53.6355884002115
MIR143HG	52.8144323417212
NALCN	51.6034670029486
PPM1H	51.507912098933
ZFP235	50.74501858708
SMARCD2	50.2169804124427
CRY2	50.0856173144021
FANCD2OS	49.4042718921135
HIST1H2BH	46.6888954776447
TMEM52	46.3256013997446
SCN9A	46.3250008843242
JMJD4	46.1610743116071
GM17268	46.0750178304485
FANCM	45.6088872967808
SLFN5	45.3093330843802
1600002H07RIK	45.2059254089475
EXD1	44.7668091643321
GM42893	43.3413907659269
HDX	43.1327102550636
CCDC18	42.8180805872067
EDAR	42.1581743060295
MILL1	41.660817652921
GM9830	41.1826316581659
BTBD18	41.1041961843086
INPP4B	40.2886869570383
RGS13	40.0926318804409
ZC3HAV1	39.1740298284356
LDLRAD4	38.7124453573464
4833445I07RIK	38.467763398392
LURAP1	36.9166189366242
IL15	35.467448798569
GIPC2	35.3354569515322
TCFL5	34.690295126259
IGDCC3	34.6499477037916
C1GALT1	34.5993394717363
SGSM2	34.3531252136612
ZIC2	33.6917374701806
SERPINA6	33.4172694132723
HK1OS	33.249719368288
GM15013	32.9025713034357
GM43714	32.7371413259748
NAGPA	32.6668419650019
CAP2	31.8526147058946
RGS16	31.6332834545094
MGA	30.9921449595389
PLEKHO2	30.3861037533138
GM27232	30.366734830154
EPB41L2	29.5923079551931
FAM196A	29.1719306133103
TMEM216	28.7459130699864
ALDH5A1	28.4670408934055
PIGB	28.4227921912928
MRE11A	28.3742798972729
CRTAP	28.1965321458862
DPPA2	28.0573814467247
GM20522	28.0243066252995
TOR4A	27.9608485423226
ERCC5	27.7303072805566
TSC22D1	27.5157176687584
GM29994	27.1086015724285
GPR157	26.9503546817168
SARDH	26.6912196929099
GRM8	26.4600256572554
LHX5	26.4572968496767
6430531B16RIK	26.4431429309161
HNRNPL	26.2514973755804
GM15972	26.0398607515453
DNAJA1	25.5649031535741
GM14419	25.469378652738
TRH	25.1555893236706
CN725425	25.027302755148
4933427G17RIK	25.0224484700898
LONP1	24.1911524290991
ZFP41	23.7080102249161
ZFP26	23.6663371407718
TTC38	23.6143062665085
ANKS4B	23.4137175513271
DNAJC27	23.2430124460757
CALB2	22.6595369411408
GM26604	22.5612510699311
GLRX5	22.3921722608382
POLR2L	22.1879377202326
CYP2A5	22.168463760424
CHPF2	21.9417430777358
METTL14	21.8105086144675
GM26515	21.7632102413187
KRT33B	21.3788530221426
GM7361	21.352614933528
RTCA	21.085047469025
MTM1	20.851186202404
NRTN	20.5034044231865
VWC2L	20.4998529465108
IRGQ	20.3912511400345
GM20498	20.3167817284698
