GeneSymbols	Overall
GM28638	100
D630008O14RIK	96.6622852624839
CBR2	75.1393498384998
B3GALT4	61.0761570873405
DAB2	59.8449198409031
ORC4	59.5267800999287
GM3543	57.0224837212851
4930553P18RIK	51.3346459440558
CHST14	50.5042873114701
KDM1A	49.6721565064233
PLD1	49.0046702276264
SMYD3	48.384564718584
C1QTNF3	48.30340490347
1700022A22RIK	47.7655251573231
HRAS	46.5384747576605
MAP7	46.2242406611191
SLC25A16	45.0000248236145
PPP1R14A	44.806891093553
LZTS3	43.4414116082087
CYB561A3	41.7549190243334
DEB1	41.1464598765443
JUND	40.8865571476982
CXCL2	40.5009932275692
TMEM246	40.2307447535815
RNASEH2A	40.1379502296988
TMEM45A2	39.6103790403557
PDIA5	39.0435681785999
ATP5L	38.8528577676841
NPFF	38.0196435941542
GM17098	38.017495337736
TMCO3	37.8148412636918
FYTTD1	37.0748196866503
RNF149	36.5077551925519
GM28045	36.2693586592129
OLFR190	36.2687844417819
NAIP2	36.1063473592613
TELO2	35.8778171038302
F930015N05RIK	33.7859570616367
BMPR2	33.7361567734551
CLEC4A1	33.3093306511874
GM15976	33.2442361828227
RPL22L1	32.8232174381583
COX7B2	32.5144475703731
OLFM1	32.1682208335113
CELA3B	31.916933302383
GRM5	31.6769453465277
GM15537	31.0074750936023
TPM3-RS7	30.9067948496554
RXRB	30.8057651750356
GM11201	30.5282556140234
GM3594	30.252432162915
GM26584	30.2519524494292
LGALS3BP	29.0853549885632
PPP1R36	28.8160586198677
CCDC172	28.7456766707742
GINS2	28.5978500223483
RYR1	28.2594335499371
WBSCR25	28.1229288284795
GM42423	27.4531440614487
ARSG	27.3834386293491
CHST7	26.9565566654747
NKX6-2	25.9403349673614
GM26771	25.6672413897794
COTL1	25.2320477202378
F8	24.8127823968254
CBLN1	24.7550225645763
WDR5B	24.7477448635266
CNOT6	24.6749018047522
GPR21	24.6151581313764
USP11	24.5190508685196
GM16152	23.9707118581351
2610318N02RIK	23.9199453120049
HACD3	23.4565217510712
2610206C17RIK	23.3958965555038
SRCAP	23.0973358688253
CMTM2A	22.6479664969046
SERPINB1A	22.5352250315388
MET	22.3767702484359
ZGLP1	22.3640532853252
FDX1	22.3569118206676
PKM	22.01811174321
HSPB3	21.8362533954599
TRNAU1AP	21.7529745758616
GM44071	21.6721093363629
PURG	21.6661869669697
GM37679	21.6439110465737
UBE2DNL2	21.4750464139042
NUP50	21.3747060760346
PKDREJ	21.1375931480468
INPP5B	21.0612879897403
CD209F	20.8864815575207
CNGB1	20.7165732582237
SCLY	20.6800122809833
GM28964	20.3659504734297
CD209G	20.2107603580266
