GeneSymbols	Overall
GM14011	100
NFKBIE	91.8027448004199
MRPL21	79.2160713894458
NRIP1	78.3434201159916
CDC25B	68.139603671955
GM2016	67.6029816911447
AMD1	67.2883261795567
GYS2	65.8747742988539
RBFOX3	64.9935852313947
PI4KA	64.6058669931652
GM14025	64.4411656775718
TRPV6	63.524543664629
ASB18	62.7649352723491
GM12531	60.7411313972127
E2F1	59.7866050524743
RP24-177G14.2	57.0578053889917
GM382	56.1158956289098
NUBP2	55.5924208046959
6330403K07RIK	54.7220220349847
TNFAIP8L1	53.4175446103874
BCAR1	53.1868587459099
SP9	52.0444767124557
ARHGAP27OS2	51.4786996353856
PHF11D	51.1781666941758
PSTPIP1	51.1098073164345
ZCRB1	50.0181341469106
4930471M09RIK	49.2201583191925
PPP2R2A	49.1927178816294
NOS1	48.9995889483129
SRSF7	48.6262210633455
GUCY2C	47.8156793605263
CYPT2	47.1243323460349
GM4419	47.1033662072227
KCNMB2	45.8337247277482
ST3GAL2	45.7118645555345
FARS2	45.1839609252079
1700013H16RIK	44.3821114015269
RPAP1	44.0866134304002
SLC25A22	43.3046547814707
SPDYE4C	42.5022040251259
GM8332	42.0302214542101
UVSSA	41.9774843606128
GTF2IRD1	41.8848110196384
GM14009	41.0625206953821
ABHD11OS	40.872887786842
GM26888	40.1086719726021
CHODL	39.6755572624186
ACSS2	38.5086597126194
GM13985	37.6905260291402
SERPINA3A	36.7797724961338
SST	36.168484615041
FAM46A	35.4888047910356
GM14064	35.4800874980093
ABCA6	35.2876167659023
RP23-137A24.6	34.4841799984506
GM13211	34.1242904067632
THEMIS2	33.8382319579956
STK36	33.8376221771402
GM10263	33.4305573804261
EFR3A	33.3404192171347
CCND2	32.9838473053528
CCSER2	32.7425201921079
GM10814	32.6933780882948
TGFB1I1	32.6626888302129
FAM83G	32.6277541010238
CD36	32.0597670540025
PLLP	31.9248990313477
CSPG5	31.5768416175662
EVI2B	31.5241112058401
DLK1	31.2754804241373
TREML2	30.813620406054
GM27027	30.7772613644736
SLC36A1	30.7003246432656
OLFR166	30.6171848981234
FAM136B-PS	30.380877112175
BAG6	30.2101773957269
GM2479	30.1546489842905
4930519G04RIK	29.5129445271193
0610040J01RIK	29.2043835039932
GNE	27.5172042879784
MROH7	27.4255768853199
NRP1	27.4168682212366
GM5431	27.2575485135265
2210407C18RIK	27.1978527327144
THBS3	26.9588330211175
CXX1A	26.8464609284102
MXD1	26.8368567006405
SEC24D	26.6728736635705
4932414J04RIK	26.6212899862561
USP31	26.2905302106212
MTFR2	26.2808006075708
BC048507	26.1758243636534
OLFR1299	26.1151078530725
C9	25.9866804111294
CCL1	25.7033098259553
CHD5	25.6089553693579
GM43740	25.1412296508791
CLCN3	25.1157293401941
PAM	24.9021420591906
GM14210	24.7314714963683
GM20537	24.5311853858056
GM43062	24.124199112638
STX17	23.8829838645873
DEPDC7	23.6234375101826
SCT	23.5075211240579
GM26902	23.1030995541051
TVP23B	23.0440048306079
SNX19	22.9188683866321
ANKLE1	22.7516192909378
1700095J07RIK	22.6144362781588
KSR2	22.4972480993093
ACSM3	22.4718497683963
4930579O11RIK	22.2712257738402
CILP2	22.2224813966699
NFE2	22.0198552614792
SH3GLB2	21.8401357031502
GM21616	21.792471307903
PARP10	21.6923624326876
ACBD4	21.4190154675909
ZYX	20.9932622090674
MOXD1	20.9196189460207
TMEM251	20.9162761697737
TRIP12	20.666530584374
FBXL6	20.6236931607984
ISL1	20.311679772999
VMN1R90	20.1254372622775
GM12258	20.0157926595996
