GeneSymbols	Overall
POLR3B	100
ALDH5A1	82.6817248712334
EDEM3	76.2267580665632
GM15594	63.2730935789306
DIP2C	54.7656762046118
GM42889	53.0715998937228
CCDC18	51.2026556054482
GM3604	49.5713546809888
BTBD18	49.4475055897688
SMARCD2	48.3317476319593
GM9889	48.0172445538073
DPYSL4	45.2504368704146
IGFBP6	45.1914920762401
ATP6V0C	44.2929494872141
CADM1	41.2937573463015
ANXA10	40.9929322666424
TMEM253	40.4040426004293
SYT5	37.9025414797193
R3HDM2	37.765152888432
ATP1A4	36.5017637128266
CBY1	36.4909390357399
PNLIP	36.1727677404753
HMGB4	35.9941397168697
GM2964	35.0247320417403
MRE11A	34.688941056797
A930019D19RIK	33.3868058734562
GM11100	32.703505535277
GM14479	32.5651769586453
D930048N14RIK	32.4752074689389
SSMEM1	30.5019445268628
PYCARD	29.8280208909337
TK1	29.1223148352475
RPTOR	29.0096092454742
D630029K05RIK	28.3222166983811
PJA2	27.6256406185371
GM9830	26.6890412346901
NFRKB	25.0536593214461
GM15013	24.4976329705351
LPAR6	24.2715265335835
FBXO16	23.6740234646175
B230110C06RIK	23.1278632770104
CRY2	22.5814195557361
GLRX5	22.3725695544993
TOMM6OS	21.7751776957303
GM9920	21.3948261468869
GM20443	21.1188722501907
EIF2AK3	20.7813534554079
EXPH5	20.2640949305319
FANCD2OS	20.2575087576127
ATG16L1	20.1579283514676
TYSND1	20.0833758976298
