GeneSymbols	Overall
GM28813	100
GPR149	77.5547770421178
CAP2	64.4613862522041
AREL1	64.3440847457342
TBC1D8	62.6588116787867
PLCB3	61.2595565806761
HLTF	59.4763590865706
PRICKLE4	57.9999560774687
RP23-84B11.2	56.900386187464
GM20045	54.2004520496638
CFH	52.5073611234081
CFAP74	52.40039919546
ZFP516	50.0124222610596
SFRP4	48.7793875214888
GM13964	48.4106819200638
PPP1R42	46.8145720835981
A630023P12RIK	44.9011719932093
CHKB	43.4673422686695
PSG25	41.3873920407394
POSTN	40.9694155947316
AURKB	40.2463124806458
PHXR4	39.2981676001379
FHAD1	37.09311162806
DNAH10	36.9054795221693
TRIL	35.0521654426912
GM29157	34.8440671227366
TMPRSS9	34.3771696977347
MAP4	33.5921881973508
GM28196	32.3785193604179
CUL7	32.0387594798618
ZMYND10	31.9344327450541
GM12923	31.892152195745
MSI1	31.6314154156587
FBLN1	31.5537992759822
RNF187	30.9490432683643
GM16845	30.4050697576839
STIP1	30.3649140146351
CYP7B1	29.6690965692855
2810417H13RIK	29.4830235019945
GM4890	28.8764326926416
IRGM2	28.7746619102385
RPL8	28.5532647637522
PDGFRA	28.3538115152074
ERG	28.0223823768148
LCOR	27.7928448768895
ZFP319	27.4969600342759
ASNSD1	27.4291032973224
RP23-152P5.3	27.1513664907367
OCLN	26.3063904875983
RARRES2	26.2755149588067
BC049730	25.9237703532695
NAA35	25.7173975692651
4930445N18RIK	25.539653053014
EMX2	25.4451167426617
PTGIS	25.3384205481668
IGDCC4	24.870558318911
RNF166	24.6221666652339
ATP13A1	24.5570803369828
SPATA33	24.0891485170768
SUCLG1	23.9759431681548
ATP10A	23.2891127642477
CUTA	23.1380588419478
SH3BP5	23.0964622795155
AP1S3	22.9882768095265
GSTA3	22.8694452384058
MFSD2A	22.8456078654058
SOX2	22.8247189824084
HMGXB4	22.6383126047742
MRGPRF	22.5833484956971
KCNU1	22.3503852180724
GM28140	22.3442592035346
EGFL7	21.8625492960572
TNS1	21.7784844948528
APMAP	21.4196276966559
NR4A1	21.1936953397744
SLC36A1	21.1700298063676
NFATC2IP	21.0746915634443
RFX1	21.0443395181814
LAMA1	20.957672664795
MYT1	20.9295078971038
ACOT6	20.9133296905052
TDRD3	20.8715544977726
MICAL1	20.8400938907751
FAM208A	20.7997905085512
RIBC1	20.7895332368299
GM44202	20.7057968985296
GM10269	20.6652945326252
ALDH7A1	20.6313023198236
PODXL	20.3624652636513
