GeneSymbols	Overall
SDHAF3	100
1700015G11RIK	89.2097607448653
KANSL1L	81.2177662928706
UNC5C	75.0390119080748
GM26619	69.857368280064
GPR155	67.7527458042067
LAT2	64.0075559695373
SMC2OS	52.6874612573527
VKORC1L1	51.4154561587005
DUSP28	49.00446432713
AIM1	47.1543941132424
THAP4	47.010927480278
AKAP13	44.4468862936459
COX15	39.8526623951156
SLC41A2	39.8360666584737
ACRBP	39.8148558110306
GDAP2	38.7626870344934
BDNF	38.3544429811919
GM13133	37.2446583458848
SSU72	35.9725659140197
ZC3H12C	32.7017743380486
UBXN2A	32.4413307271303
NAA30	32.0340016097198
ADCK4	30.9647558198244
PAICS	28.8825927075589
CX3CR1	26.2563281322453
PCDHB10	25.4015387835648
FGD3	24.9480187536068
HERC6	24.8737250247104
TMOD4	23.9613207459067
NCAPG	23.6911230275898
GBP6	22.9042607718327
MFSD7A	22.7659809525649
GM9885	22.3445447211267
ZFP788	21.8289905065575
TRIM43A	21.2458270953508
PRCP	21.1520858491373
TMEM41B	21.0755397553212
RAD1	20.6823053812655
RIPK2	20.2033903357818
