GeneSymbols	Overall
MALAT1	100
CRYAB	88.2595297395971
MT-ND1	79.1158643381845
FTL1	75.3388949593014
PLP1	74.2210221389686
PTMA	62.6766964259298
SELK	59.7998532119795
QK	55.1574504270097
FTH1	52.3659340698401
SLC25A4	49.3915561005495
LAMP1	48.9497915626649
RPS23	48.924077517129
H3F3B	48.2500035785308
CALM1	47.6944520832063
TSC22D4	47.3570998947807
MT-ND4	46.0037460217968
RPS6	43.4499085995964
OAZ1	43.3965898379553
CD81	42.5379274239833
TUBA1A	40.6203871371006
CNP	39.8037364474329
MT-ATP6	39.2419238718223
RPS7	38.997253087779
MT-CO1	37.9850160959918
EEF1A1	37.9538096823977
MOG	37.6790264570289
PTN	36.0687810443027
SCD2	35.9475961574252
MT-CYTB	35.886876588192
DYNLL1	33.5871353059235
SEPT4	33.5499014642546
CLDN11	33.5231235139278
1810037I17RIK	33.1464222157504
NFASC	32.6051370786442
RNF7	31.8340138755358
RPS2	31.5499574645308
RPS4X	31.3623690846762
MARCKSL1	31.0593420907965
RPL32	30.7507267379869
TMSB4X	30.1551698732607
RPL41	29.8809929154822
MBP	29.8291896595141
RPS5	29.6990993960496
NDUFA4	29.6826529323631
TPT1	29.558009940959
GLTP	29.3341039165888
SYT11	28.8151542248916
RPS19	28.7699914353008
MOBP	28.1994201960971
RPLP0	28.1226198147239
RPL13	28.0801259652662
SEPW1	28.014744624279
JOSD2	27.626202868605
ZFP706	27.2488601056172
GOLGA7	27.0307031931121
RPL19	26.8819313432949
ARPC1A	26.8802223080156
RPS16	26.6549719408433
ATP6V1G1	26.4363461586137
COX4I1	26.3913985512023
YBX1	26.1748199095837
TUBB4A	26.1142910899996
FYN	25.8072820171811
ENPP2	25.1793447871516
TMED2	24.9522818489489
RPS14	24.7735709745366
RPL37	24.3366597336351
SEPT7	24.2477811863205
MT-CO3	24.1285125152368
GNB2	24.102116745934
CISD1	23.8425986095991
HMGCS1	23.5827812624091
UBB	23.4627317956599
ARPC1B	23.277695452905
RPL14	23.2327339582584
PFN1	23.1359450031667
FEZ1	23.0609667756864
UBL3	22.8561449609381
EIF5	22.6654498765075
DUSP15	22.6019768805927
RPL3	22.4757302181169
YWHAE	22.4453735546906
DYNLL2	22.3213732822089
SLC44A1	22.0737948632421
CYB5A	21.9506616218566
APLP1	21.4143480004992
SERF2	21.2633774724301
GM16302	21.2042582862847
CHCHD2	21.1637217023199
DANCR	21.1312023583537
MRFAP1	21.023361031659
0610007P14RIK	20.9115289137126
MT-ND2	20.7108346448955
TRF	20.6428861156088
RPS9	20.4918465265054
SNX3	20.4896675504422
UQCR11	20.414971020395
RPS3A1	20.3029138681969
COX8A	20.0806110524251
