GeneSymbols	Overall
CNKSR3	100
BRAP	99.2652740786248
PAIP2	97.2179153014614
B930041F14RIK	95.9925404193776
TADA2B	92.9362094876893
AAAS	90.7131387499603
DOPEY2	88.8262826863128
RALY	88.7707248068315
GM15208	78.0342293997314
CEP250	77.2948362994147
KCNG1	74.0331478184551
CST8	72.746983815263
CATSPERB	66.3441293278967
ARHGAP42	64.677290536045
BCORL1	54.2486901654324
RGS19	53.2202793385326
CTSK	52.7058108300051
PTPRZ1	52.3843752446803
BLOC1S2	47.2741934260205
4930588K23RIK	46.1222523510051
TMEM192	45.6027927670624
SDF2	43.6239698649873
6330416G13RIK	37.6658323861086
GM5039	37.3994452862905
FKTN	37.2231267674167
TMEM86A	35.6471874679099
PTPRH	35.6109593324718
GM13799	34.2984603277267
GM26873	33.2468811314108
FAM160B2	32.0214948963953
GM14102	30.9443280105833
SERPINA3B	29.7660471509048
GM5117	29.1859609845445
NKTR	28.1397065826109
2310075C17RIK	27.4891531373416
RPS27RT	26.9063383348891
RDX	26.5844489689868
USP39	25.8259774043419
TMBIM4	25.1772007514164
GM5414	24.2997080703319
STX7	23.8870650937034
RPL13-PS3	23.8270894605137
TRIM9	23.5282517739178
OPALIN	23.1400128703513
APOL8	21.5746417193171
CEP55	21.289534865872
LCN9	21.0670487331344
