GeneSymbols	Overall
GM15537	100
RTFDC1	92.0466115747886
GM28638	80.3449981939204
D630008O14RIK	76.0859007164444
NCAPH2	75.4977769874209
OLFR822	71.4095091937427
ZFP248	65.1818823533986
MILL1	64.9622675331482
CYB561A3	61.4139847426806
OLFM1	61.3887943299879
PLA2G3	59.6439767997703
GM28045	57.6925612083594
DES	56.9295228501622
SLC25A51	56.7615775063314
ARL14	54.9707119114266
NPFF	53.4483206504677
5430403G16RIK	53.3605332680248
PRDM9	51.1315106683992
ZFP711	50.7020628524148
CHST14	49.3787021604344
HS6ST2	49.3630413003965
TMEM246	48.5863125956068
CLEC4A1	46.9426745087054
SPI1	46.6587251307396
TNFSF10	46.4834964837285
THSD7B	45.9739316772705
ABCC10	45.6291556691982
TRNAU1AP	45.3301584356043
ARSG	45.074733744644
JUND	44.3159294037853
GM3543	42.5435278250002
GM3033	42.1807644398419
ORC4	41.915447945306
DCTD	41.8643506933525
ZCCHC4	41.4410125473432
RP23-457J22.1	41.3816719109873
EEA1	41.2824676525005
RNF103	40.6038395178952
RABL2	40.2076798164017
RPL22L1	39.6323883025364
ZFHX4	39.0876704731836
KLF6	38.8278632662696
PKM	38.7913836521749
COTL1	38.6775608294761
2310011J03RIK	38.6032404625087
OST4	38.4933525157898
SLC25A16	38.1697339012912
FDX1	38.0466397061639
B3GALT4	38.0039126262001
ATP5E	36.7087986560443
GM28905	36.6858252678393
EIF2B3	35.8965894504396
CELA3B	35.848877107532
AKR1E1	35.5991951361577
MTMR11	35.4619268951409
KRT26	35.0595483136301
TMEM88	34.6811158947377
GM5424	34.5224525129583
ST6GALNAC2	34.3244716047313
4930589P08RIK	34.3173010602377
GM3594	34.2749034385939
HIST1H2AL	34.1604801385228
JADE2	34.1453952682167
LGALS3BP	33.9755977015528
F8	33.1166192394225
GM17467	33.0625115505263
9030624J02RIK	33.0149147656341
RXRB	32.9887367070882
GRM5	31.8369505760443
DDX52	31.8307452799305
INPP5B	31.5172216096513
HRAS	31.1202177432994
2610016A17RIK	30.8234246490171
TDP1	30.7787000964231
SCML4	30.7417282799051
PKDREJ	30.5752950771856
GM26716	30.1452071768384
FOXO4	29.9678405757416
TELO2	29.7767052002366
CDKL3	29.6835448785385
4833412C05RIK	29.533376877856
RAD9B	29.5218531787955
GM37679	29.090706046286
SRPK1	29.0817774862285
2610318N02RIK	28.622282324692
TEDDM2	28.6089781175662
DACT1	28.4840321176462
ZIC3	28.0649308324762
TMEM53	28.0576713036225
IL17RA	28.0041756814109
2410004P03RIK	27.824559062848
TRH	27.816851626818
LACTB2	27.6628884591363
GM10069	27.6535691734782
RPS6KB1	27.5355760572445
FRS3	27.2601296600737
CCDC172	27.1796277930124
GFPT1	27.1055087829757
H1FOO	26.9973777798269
BC021891	26.7810956099171
PPP1R36	26.7637083118367
LLGL2	26.5765610588217
BMPR2	26.5072686547392
GM11680	26.4074920845664
RRH	26.3517232938336
AKR1C14	26.3463372783479
GPR21	26.3166241828761
PYROXD2	26.0913307311071
GM5833	25.814057818777
PPP2R5E	25.7658802123871
VMN1R35	25.6500978803094
DGKH	25.0397450304685
PBX4	24.5870280154739
GM15894	24.3956180845532
CHRNA1	24.1963395270621
PQLC1	24.1808137947339
S100B	24.0958763717516
PRSS16	24.0861105697867
C1QTNF3	24.0187165003064
CCDC94	23.752509229753
HSPB3	23.5889004487052
GM15976	23.5485246476449
PURG	23.5037240264794
GM26732	23.4986842069471
GM42582	23.3470992101707
SPAG4	23.2743697500759
ROPN1L	23.1703935489154
SERPINB6B	23.0957408729765
WDR5B	23.0815992498949
RPL15	22.876622301639
FBXL7	22.860480438697
PXN	22.7091727619397
PPAT	22.3736566799455
LAG3	22.3092823543886
DCAF6	22.2283836733445
GM5422	22.1471276444588
SCG3	22.0705401695423
9430098F02RIK	22.0634648610375
GPAT2	22.0079261797408
GM4791	21.6918379400267
POLG2	21.636606104364
PTP4A1	21.602695553438
DPP7	21.4504123739613
OLFR1359	21.3955429373058
IRX3OS	21.3481629482897
LARP4B	20.9624714360558
PDE4D	20.91461844804
GTSF1L	20.7734876372165
OLFR461	20.772820465807
MAPRE3	20.771351383021
ZFP28	20.7614116814155
GLI2	20.7441663626169
LZTS3	20.7017163342792
AGPAT9	20.6460501546704
E2F4	20.5939816085528
GM15347	20.4599521382269
4931422A03RIK	20.4386094438472
CBLN1	20.4180279239209
CTIF	20.4014325103257
FLNB	20.3919326475236
CLN8	20.3511986863748
GM32569	20.0329595407831
COX7B2	20.013796622188
