GeneSymbols	Overall
OOSP1	100
NOL6	93.0131107917375
CCL1	86.928369214129
GM12531	85.82931213868
ROBO3	78.592673363003
GMPPB	78.4646156486865
B4GALT7	72.1741773923214
ELP4	71.0550266796574
MYEF2	64.5869433570278
GM13211	63.8233967518665
FGA	63.1068187793172
GM26888	57.5508448533288
GM2016	57.4391843537925
TROVE2	57.2108703657791
FARS2	57.105574354276
EFNA5	57.0598302959763
0610040J01RIK	56.8606971799916
GM10797	56.5107802547187
CPS1	56.3832539121989
4930519G04RIK	50.8091031583902
POGZ	50.2290464130516
LOR	44.0238589565395
NRIP1	43.9331672253787
DHX30	42.7118467833735
SNX19	42.6401951805471
4933440M02RIK	42.4246963892231
RP24-177G14.2	42.2281182848343
MCEMP1	42.2077194798642
FLRT3	41.9530888343175
4930480K23RIK	36.7157970014903
DICER1	36.0481810839529
GM5532	35.9512668794959
SLC22A13	35.8298099589845
TREML2	35.6489738450017
RPS6KB2	35.6045088713429
HNRNPH3	35.3767182139766
SAMD12	35.3055832850738
MRPL47	35.228720606778
GM26953	34.9593848098244
DCAF8	34.7001709523897
GM20711	34.3144987931399
RPS6KA6	34.1986755741453
9430069I07RIK	29.4750814207377
ADAMTS16	29.2030020246024
BC048507	29.0757842556143
MUC4	28.4261384777089
THEGL	28.3309062631588
SYCE1	28.148430970288
GM20537	28.1285983314946
GM43146	28.0858662286206
GM6525	27.9718276751813
CDC25B	27.8925306282133
LAT2	27.8706842057312
GM9961	27.4940675388121
SCT	26.9261656202353
SIK2	26.6336696456853
AMD1	22.1052458173536
LIME1	21.7584098940721
CST11	21.7025094149987
RBFOX3	21.5307812326325
2610507B11RIK	21.1901332754154
LY6H	21.0958885509361
E2F1	21.0904043137773
LRP2	21.0545648803689
ABHD14B	21.0346369206286
IDO1	20.8888068450838
ANKRD65	20.7557006575726
TBCE	20.7346412301774
DEPDC7	20.5699370365481
C2CD5	20.5406256359103
C9	20.50193789169
