GeneSymbols	Overall
SDHAF3	100
VKORC1L1	99.2110073843047
THAP4	87.3360668246621
ADCK4	84.1374720033018
GM13133	80.4635432278088
ACRBP	75.3753646895822
ZFP513	66.1185934102837
HERC6	60.6726381329709
AIM1	60.0479236462049
GPR155	58.8064640924597
SMC2OS	53.421312892913
AKAP13	52.5469245468989
ZC3H12C	46.8512866766556
PMM1	40.0337457548334
RAD1	38.0303841172535
SSU72	36.1995586985189
SLC41A2	35.3972673328495
1700015G11RIK	34.4052129237378
PRKD1	34.2830029748951
ELF1	34.052047072273
TMOD4	33.335904811134
YLPM1	31.9964248818979
GUCY1A2	28.771298430267
GUCA1B	28.1978483080184
ZC3H7A	26.036536104648
ARHGAP35	25.392140136426
NAA30	23.1584605875809
MFSD7A	20.8703308707219
