GeneSymbols	Overall
KLK4	100
GM26663	90.5425168852413
PRPSAP2	80.1518081441982
KRT17	76.7123103750932
WDR6	73.4432892281274
SEC62	69.4350369712064
TUB	67.7045971209482
SCFD2	65.9495296570573
TUBB3	64.5228849039074
GM13152	63.6198623814011
DNAJB3	63.3443982770898
ZC4H2	62.145060108014
G730013B05RIK	59.9802180819886
4930435C17RIK	59.4550711006576
GTF2H2	57.8516299352716
ANKRD61	55.6786988380288
ST8SIA5	54.1439588880528
DUPD1	53.5426406390223
PTPN9	52.1136412857597
BRD3	51.9797332505582
BAIAP3	51.0848680319473
GM13043	50.8894456049513
GM12289	50.46891035716
RAD21	50.0527122244093
SPAST	49.1592615406947
GTPBP3	47.6335766497158
GM26863	47.2669151709117
RABEP2	46.5344877591379
UNC5C	45.6085207773698
9430016H08RIK	43.7850514722628
FAM118A	43.7481417920863
CDK8	43.4020369453462
TCTA	43.2571664332346
NIPA2	43.2328184565504
CLDN18	42.6413773693546
MPP4	42.5437150128899
GM15328	42.3121710806876
LSR	42.195250519151
LPCAT2	41.6737655725498
MPPED1	41.3203244286187
GM9930	40.1285207432832
ZFP786	39.8106738782344
MMP17	39.2712788985687
BATF3	38.810596828881
ZBBX	38.7943553478529
NWD2	37.829615097277
KLC3	36.7682980975171
GM26882	36.5867869563891
GM37502	36.252786933366
LRRC14	36.232298542334
APPL2	35.2917738014486
ABHD2	35.2063725017199
MALSU1	35.1689095223994
UGP2	35.0802916262197
D3ERTD751E	34.975182146167
TRAF3IP3	34.8546024549554
GM29587	34.7639963203651
A430105J06RIK	34.549602064592
GM37233	34.2418222868034
ABHD6	33.9451404399202
SLC27A6	33.8656706363201
IP6K1	33.8220933199025
TRAPPC5	33.1576188124229
1700012A03RIK	32.9265174372156
XPC	32.8470041969464
AFP	32.5980813624345
CCDC83	31.8394514924071
GM11110	31.5531754170145
GM5800	31.5523283247109
LYZL4OS	31.4693139533457
PLD6	31.3263665772753
CD40	30.7076386987878
RNF123	30.333755165574
A430027H14RIK	30.1447998990676
1700060J05RIK	29.8078561630612
GM13262	29.6718556363215
PER1	29.474424717596
GM15406	29.1935933615723
E230013L22RIK	29.1318632098858
RIT2	28.8837205392456
CDH18	28.8295191044432
GM4924	28.7981144503762
GM9047	28.6905927449775
PAPSS1	28.4957503998012
CLDND1	28.2164704983923
MPZL3	28.1224070007143
NDUFB3	28.0262007097399
GM17250	27.9445130968583
DIEXF	27.8581660839403
GM15956	27.8181114955595
SYT10	27.7690196367483
FOXJ3	27.6976437110333
EPB41L4AOS	27.4325494597855
SEC22A	27.4160982890988
CCAR1	27.0098328033265
ZFP459	26.4744661587613
GM26559	26.2115194016474
NAE1	26.0787576411164
GM13003	25.3855319615463
MPHOSPH9	25.3020184022214
SUV39H1	25.1812293131678
VAV1	24.9401630780965
PBXIP1	24.8659343163806
ITGAM	24.5078517152102
RP23-218K15.3	24.2215067590716
TMA16	23.9919351918841
PATZ1	23.8409246470212
GM12290	23.7772760946237
ZSWIM6	23.7289472690002
SMNDC1	23.7139664971683
INPP5E	23.7062566991885
MAPT	23.6016836106797
MSR1	23.4112856227092
AKAP8L	23.3091425858562
PRAM1	23.0419583271379
HHIP	22.9366316540193
ZFR	22.6321654228517
TBC1D2B	22.4914861346046
GM21859	22.3183183038941
FZD4	22.2992627972502
MPV17L2	22.1467865627167
DPP4	22.0708535089569
GM21679	22.0164478435723
METRNL	21.9240888409202
SH2D3C	21.4832123901978
MDM2	21.3120849640089
GM15469	21.3047591601667
NOTCH4	21.1793944379953
RBPJL	21.1465753876439
NSUN7	21.1450648003155
FAM111A	21.1278081784685
FAM26F	21.0544757428716
PAX4	21.0181273668591
D5ERTD579E	20.97119369245
PSD3	20.9566639596954
ATP6AP1	20.9393704838784
OGDH	20.5130199189581
FAM124A	20.3920773264841
4933406J10RIK	20.3335291160515
TRIM72	20.2847111973544
HCFC1	20.2004105520336
TSLP	20.1527314577288
ZFP106	20.1274656245703
