GeneSymbols	Overall
DOCK5	100
EPHA8	96.3290690866879
CCER2	85.8270302823708
SURF2	79.2300359734067
GJB2	77.8641884260747
GM10000	73.2701868517763
1700007G11RIK	70.9584575197034
GM17455	66.5344143823836
EVC	62.0087204522355
GM15389	51.536539693813
MYLK4	44.5620565132047
MRPL11	43.4551976819693
SERPING1	42.0289785683379
PMPCA	41.7930054891008
CHRNG	40.4690304708178
GM26710	39.3331054476748
TXLNB	37.7321627954865
SLC25A41	35.377242695057
GM13056	30.828951110484
RNASE1	30.4594654916127
IFT172	29.5733886048596
ACTA2	24.8687239348046
PRELP	24.3825223139731
TTC7	21.1411775593822
NSL1	20.6753618616672
SCN2A1	20.3542966535391
