GeneSymbols	Overall
AA474331	100
TBCCD1	80.4807644582973
HARS	75.6856136051193
TTC23	74.0950646186067
HBA-A1	73.8676516328753
FOXP2	68.6380511011815
PHYHD1	67.0848242820122
KCNA7	66.5924269247627
QPCT	63.8137785008392
KCMF1	63.7635309978378
TMEM130	62.6508344621676
1810062G17RIK	59.1856071577755
PISD	59.1548306111819
TRIM21	58.1263935274794
HMOX1	56.9721326305419
CDH12	55.478770801671
4831440E17RIK	53.7926815002433
GM10378	52.7554074908175
CUEDC1	52.5600571396142
DOK2	51.2477837314339
MCF2	50.7971771376999
GM43660	49.9982960274086
PIAS1	49.7996204622045
RUSC2	48.5032982037738
RP23-421P23.4	47.5101030882169
PLA2G2D	45.9743051438151
OLFR734	44.1452283354211
GM11520	43.0332694361443
SH3RF3	42.0184842318373
WWOX	41.2941260952427
MYT1	41.1772356802108
ASPA	38.6993942499976
GM10549	38.3208949345195
MRPL20	37.9732221477259
TNFAIP1	37.8539750318586
GNAQ	37.8193463331465
GM26671	37.7366089657331
GBE1	37.7338131169923
PPP1R3E	36.8495650928732
GM26688	36.8140373124203
GABARAPL1	36.8036812573855
COL14A1	35.8583240753696
DANCR	35.291048905094
PRKCD	34.5199738992702
GM27004	34.3861108322403
GIP	34.2239716781808
PCGF5	34.090616959924
DTL	34.0463605423978
STMN3	33.6744880302626
GM906	33.3100801125397
SPEER9-PS1	32.637716479246
GM37544	32.3741403371225
HRH1	31.8586789815824
PDSS1	31.8575996288755
GM29561	31.513688966538
DHRS4	31.4537709389775
PMS2	31.3726451975088
CHD1L	30.5182806322272
USF2	28.9324778505277
GM14420	28.7584410471654
PPM1K	28.3330893163239
CALN1	27.6208044593191
PRL8A8	27.4521142215718
MAP3K8	27.3515881327331
RP23-218E6.4	27.3441309945612
FBXL16	26.706021837389
A830036E02RIK	26.6035849069365
ADAM22	26.449626458737
SF1	26.2273092982476
GM44085	26.0613829629215
BCL7A	25.8362967978875
MHRT	25.6366663487079
LRRC18	25.37574100178
GM42948	25.2284207863532
AU022252	25.2032624009101
GPR137B-PS	24.6407189757431
A130051J06RIK	24.4620488378064
FAM110B	24.3432128682253
ABCD2	24.0375024092375
CYBB	24.0278731602494
TCN2	23.180759963134
TEP1	22.7126917810693
SCN4B	22.7102987122659
OLFR1250	22.5230454232577
CTSA	22.4307324388062
GK2	22.0690534786337
CWF19L2	21.9326959685694
RASGEF1C	21.9077102457252
SYNDIG1L	21.9074754179101
SLC16A3	21.81088154728
FAM57B	21.769452862785
SLC27A1	21.7523260275207
MTCH1	21.5808143056048
NUDT7	21.5076629892993
GM27188	21.1768378028641
B830012L14RIK	21.1594986666972
PRR5	20.8833189521069
GM37422	20.5951875058557
