GeneSymbols	Overall
GM13152	100
RSF1	80.7674187594236
GM42957	78.5134934352776
AKAP8L	73.5665944288537
D5ERTD579E	73.1921514652238
GM10701	71.822313658011
UGP2	71.0785541655664
ZFP786	66.9378422819099
LGMN	66.8600612249974
C230021G24RIK	54.1769112766995
CCAR1	52.894748862782
GTF2H2	52.8038857952674
C430042M11RIK	51.8443403944122
A430105J06RIK	50.1821733073943
AGPAT1	50.1182783008237
GM10604	49.3844285792812
NWD2	49.3466607497092
HAVCR2	48.1499140298247
CDK8	47.5231819517065
ZFP106	47.3928315033104
BRD3	45.7183939395432
GM595	45.1963096807173
GM37502	44.7435577156346
TRAT1	44.4610462328954
RNF181	44.0281827380417
D3ERTD751E	43.4985782842027
SEC22A	43.4179122427725
PCSK5	43.2518213247859
GM43653	42.9599875549675
NECAP1	42.6483887324337
CCRL2	42.3723187711877
PMAIP1	41.8579224553442
MYPOP	41.2972222867881
MAN2B1	41.2506350847258
KLK4	41.1567471778547
2700094K13RIK	40.8002673291078
FASTKD5	40.7268977276278
IL1F9	39.9604025067271
NAPA	39.4549097450875
GM15261	39.3436574794663
NSUN7	38.3314043305589
ATP5G3	38.1378006578112
XPC	37.7853633933259
GM13003	36.7411994078348
KPNA6	36.3250545814076
APBB1IP	35.9749983978691
KRT17	35.2223827080245
TTLL4	34.6102104145644
ADAT2	34.1333350587424
INPP5E	34.003240347655
SYT10	33.8464716139916
1700015F17RIK	33.6064248633019
ECE1	32.8646806267648
GM15956	32.8234202256043
IQUB	32.3304873787572
GM29587	32.1818548783053
GM26641	31.5056983344925
LRRC14	31.4604866546096
PAICS	31.3172463533844
BORA	31.059879648504
ZFP12	30.8662934334041
KLC3	30.8525075139644
RBPJL	30.8420534430836
RBM15	30.7566523060165
GM26822	30.679071303751
SLC35A1	30.6790238079121
GABRB2	30.4677509646194
USP2	29.7592447158706
FAM118A	29.5397107725193
ATP6V0E2	29.0394537007913
RAD21	28.9615653187207
GM12764	28.4488823048768
SORCS1	27.8314901142164
CYTH4	27.633189537257
TRMT13	27.4599031408304
WDR26	27.4549041048764
FZD4	27.3883229869602
ZFP13	27.1108999066627
UNC5D	26.9554551419572
ZBBX	26.8246043275235
AFP	26.5364814900429
PNPLA1	26.432106351361
PPM1B	25.9737251369969
APPL2	25.8420112845643
GM26663	25.257348865958
MPPED1	25.1460356746345
CLDN18	25.1005447944902
ST3GAL6	25.0406580275932
SMNDC1	24.9858918222215
MMP17	24.8890428346508
ZFP345	24.8171691972629
CACNA1B	24.5927696410972
PANK2	24.4876943830462
GM15813	24.3348727462613
SH2D3C	24.3080709707009
CLEC5A	24.0964352465997
BROX	24.0754332709761
ACMSD	23.9323910115342
KRT24	23.9125129457832
ACAT2	23.7525420182107
ATP5B	23.61518878681
CLDND1	23.5160074200538
UBE2M	22.7847264201963
DCUN1D4	22.1393607495993
OLFR1330	21.6583483606132
GM13001	21.2844681506609
VAV1	21.2437853243705
MAP4K2	21.2045051068013
CDH18	21.0545301137285
FANCE	21.0424827522184
GDF15	20.973622138992
ZC4H2	20.8554788485314
B4GAT1	20.826540350791
DCAF4	20.6930325874189
A430027H14RIK	20.5073827992879
GM14341	20.4519027690258
ZFP414	20.3368292316301
CMTM7	20.3305020248413
