GeneSymbols	Overall
SDHAF3	100
SPATA6	95.06167543532
2810417H13RIK	87.9105260071587
CYP2J6	86.349097005202
MDH1B	81.7045834918468
ACRBP	79.4882327839908
GM13133	64.9149331116738
1700016G14RIK	61.5658309467332
A730046J19RIK	59.900520468929
AIM1	56.9030244451605
HERC6	53.5884073793674
ADCK4	49.5486976777903
GM10073	43.22348341816
TMOD4	41.6200182189599
SPEF2	37.6666220741043
UGDH	37.0419402825708
ANXA3	37.0038108036055
SMC2OS	34.3377812351284
YLPM1	32.7144544242215
1700015G11RIK	32.2975306322619
VKORC1L1	25.3711486944379
ELF1	24.2445282547517
AKAP13	22.7664224616651
FGD3	22.4797466995591
TNFRSF4	22.3515166726636
SLC41A2	22.0347580369703
THAP4	21.665833543204
