GeneSymbols	Overall
CCER2	100
C530025M09RIK	79.8387943092575
PROM2	78.7922609449616
GALNT11	76.4849661170323
DOCK5	74.3546915722108
CALB1	72.375261159884
GM16308	71.8432774010825
EPHA8	63.6654058659964
SURF2	56.2181274151952
CHRNG	49.2800362083418
CEP57	48.3495100508308
2010309G21RIK	41.5977358063295
GLB1L2	41.4677420359491
GM15440	40.256763784919
PMPCA	35.6797973762069
CTSO	31.5145485502715
GM13793	31.4156780124919
RORA	29.4693433665192
LTBP1	27.9810241191833
GM26742	26.7258852991895
APEX1	26.4654537220808
COMMD9	22.7719545085103
DHX34	22.1642717172324
ZZEF1	22.0812834511134
MGAT2	21.6408865771238
ABHD13	21.5522957592915
HMHA1	20.8756457835703
ATRX	20.3224006491434
