GeneSymbols	Overall
MEG3	100
MALAT1	96.9425561068697
MT-CYTB	95.7568284947719
MT-ND1	94.0738676542515
CALM2	86.7191560275156
CALM1	79.8613168245675
NAP1L5	70.4668165197468
TMSB4X	70.2669691134477
FTH1	63.1709895497454
RPL3	60.5705608919862
OAZ1	59.7931367489348
RPS19	57.7792150810386
GAP43	56.1640365874501
MT-ND4	54.1730094047307
SNRPN	51.7794437994856
RPL13A	48.9463308864831
SLC25A4	47.6684672180308
RPS6	46.7220210248076
CHCHD2	44.3936488268038
FTL1	41.7674711807842
SNHG11	40.8527448444578
COX8A	40.5518321774204
RPS14	39.4323892474948
COX4I1	39.0025853608345
RPS27A	37.1682059009699
NDUFA4	35.2833850037113
TTC3	34.7760078708833
MT-ATP6	34.4471114038986
RPS23	34.1731557858023
RPL19	33.7086611780181
RPL9	33.4843330450046
RPL13	32.3076970306402
EEF1A1	30.9978364372416
SEPW1	30.4987549901164
RPS5	29.7266412826456
MT-CO1	28.5431612640752
H3F3B	28.1337614463566
MT-ND2	27.7524642354236
MLLT11	26.9620466763546
RPL6	25.1359436120009
RPL14	24.322105026815
CHCHD10	24.1493454291751
RTN1	23.4043898473985
RPS8	23.2760252403069
RPS3A1	22.7936952506478
YWHAE	20.8388413594452
ATPIF1	20.712611462721
