GeneSymbols	Overall
ZFP943	100
KCNG1	99.1224344019891
SEZ6L2	96.9426664850441
GM43082	92.1306300801577
RALY	86.9585807602391
ZBTB43	83.2677432685043
TADA2B	79.815647350397
GM5117	70.7401642033018
NKX6-1	68.1329737277612
AGTR1A	67.9518444995034
B930041F14RIK	64.014732974834
GM15965	63.4540540822975
TBC1D20	59.8608122954671
DOPEY2	57.9835170442208
ARHGAP42	54.7863962455406
TECPR1	49.6714245515151
RP23-310J6.2	48.8878902956324
CLGN	47.9856527883254
CTSK	45.9288912221417
CEP55	45.3710001850338
RASAL1	44.4114768761084
LUZP1	43.4731948797574
ARL6	43.4618543595817
ST3GAL6	42.0006263895857
PAIP2	37.2036789006709
AGGF1	34.9210382703473
GALC	34.1081818407716
ETV1	34.0597701261313
UBE2O	33.9373319382972
TMEM192	32.3400338548822
ELP4	31.7290272165397
TMEM86A	30.1497326923114
FKTN	30.0722248305839
RGS19	29.3611101108457
STK3	28.9894437730944
ACOT2	27.5597902947019
VPS25	27.0086874184989
UCK1	25.5254542468287
STX7	25.0538688891955
CHD1	24.6130888606299
FBXL15	23.7504018081596
SDC2	23.7437072747817
TRRAP	23.6140447366966
GADD45GIP1	23.3333133045967
GM16599	22.7769348399934
DOK7	22.2961632090914
FAM163B	22.241888913598
TUBGCP5	21.6145259362015
4933436I20RIK	21.0310680176714
ANGPTL3	20.5922319375638
GM5039	20.3505088231124
