GeneSymbols	Overall
LARP4B	100
CLEC4A1	94.9956843151348
JADE2	92.6362357668504
GM15537	85.3269642449309
ZER1	83.3719145476289
RB1	81.7750323658918
E2F4	75.1737982894044
TRNAU1AP	72.3912374683961
CELA3B	66.8786322144009
SLC25A16	64.5149132444307
BC030336	49.6901146328508
SMYD3	49.6425633932892
OLFM1	49.2124443997871
GM3543	48.823659973709
GM15976	48.3228376493841
NPFF	47.4561221894988
VMN1R35	46.9009076072492
E130111B04RIK	45.4389502966398
D630008O14RIK	43.4227631091882
JUND	41.6786721074403
WDR53	41.5722844380242
PKM	40.5754719042802
PRDM9	38.2076321929973
COX7B2	38.189368159401
ORC4	38.053992503824
ZFP248	37.7953551404754
PPP2R5E	37.2616150537554
RABL2	37.1555686543977
LGALS3BP	35.953909071301
GINS2	33.426012877878
CDK7	33.023477991687
TMEM88	32.9107666303156
C1QTNF3	31.661479724627
TMEM246	30.4883960428647
CYB561A3	29.2358040117759
ARSA	28.1241780333975
GM10842	27.2451775846474
CCL11	24.7510162587724
5430403G16RIK	24.2236364828524
GM28045	24.1939991410054
ZFP711	24.1348138156876
ESPN	24.0502016567455
GM28638	23.1192336375661
WFDC1	22.9704834620372
CETN2	22.6643027860132
ATP5E	21.108262926354
GRM5	20.8840476167632
