GeneSymbols	Overall
OLFR544	100
TEP1	90.9674772956801
GM42948	88.7462013117024
DHRS4	87.1375242150203
GSN	80.6952921467227
GIP	78.3555778200469
PPP1R14A	75.9789867102427
GM26688	73.6906284469901
GM906	70.0598607882833
PNCK	66.185405887435
NLRP4C	64.9714721382054
PRL8A8	64.6228114987011
GM13539	63.5705155231634
CUEDC1	62.7157396508131
GM43660	61.5914210328133
2810471M01RIK	61.0136250110261
GM13762	56.1535784615112
MAP3K8	54.1699853539465
OLFR1270	49.7444709973668
OLFR734	47.6273732419633
ANGPTL7	43.9250611328652
GM10603	43.146421491276
OLFR818	42.0840912773453
HBA-A1	41.9393800952406
CYBB	40.326385313746
OLFR564	39.1453354712286
MAFB	38.8934117743651
GM43763	38.4974134573427
DEFA-RS7	36.5023507109145
PHYHD1	36.0131850366086
GM12107	35.4825370485753
VMN1R233	35.3820820540708
BC046251	34.8841303308577
GJC2	32.9107592220954
IQGAP3	32.3057431524653
GJB1	31.6814037254346
QPCT	31.480102349608
CIDEA	31.3228545167188
OLFR355	30.6102703471055
GPR137B-PS	30.1760918377711
STAP1	29.706111672907
GM14420	28.7864475076555
ZFP640	28.1100785241419
RP23-421P23.4	26.3787411302698
FA2H	25.1974551213669
SLAMF6	24.259356532692
OLFR350	24.2223545447541
PLA2G2D	23.8844734039724
SH3RF3	22.8181859346887
GM29561	22.4639614852368
PPP1R3E	22.3087424176375
KCNA7	22.2889145172964
SBP	22.200230768102
HARS	22.0345583092541
USP17LD	21.8693300255869
OLFR307	21.7648913420195
SH2D7	21.7248316890965
RGS9BP	21.3816822909526
OLFR26	20.5358639797349
ZFP276	20.298388899316
OLFR1097	20.1611587333138
