GeneSymbols	Overall
GM37502	100
APPL2	81.461785409734
GM816	74.9841549828136
G730013B05RIK	65.1640397906459
GM13003	64.4849872442619
FZD4	60.0096720468779
4930435C17RIK	58.5426619177934
GTF2H2	54.6050381856326
ST8SIA5	51.4923734437346
ZBBX	51.2510310195486
GM13152	49.3103575173938
KRT17	46.3206399171834
UXT	42.9413400636287
CDH7	41.0139349633453
KIFC3	40.8053279533529
MARCH3	39.8770457595034
GM13977	39.1016951055689
GM17250	38.1137291886503
FAM118A	37.8615344563052
DUPD1	36.6969061095529
CACNA1B	34.6713822322675
GM15406	34.0754223658784
4933404K08RIK	33.8778980654133
BRD3	33.8446863030396
GM12289	31.9553707829217
1700012A03RIK	31.1961761152299
CLDN18	30.6776029899831
PER1	29.5366916710614
PKHD1L1	29.2977230710043
APITD1	28.3947110895919
1700055D18RIK	28.3450089591272
NMD3	27.5573154639868
PTPRJ	27.3503456852682
DHRS7C	26.9831862242443
E230013L22RIK	26.4575124558005
MBNL2	26.4477666857682
GM5800	26.0595088940475
ADAMTS2	25.3603691023221
RBPJL	24.6663003809529
GM26863	24.6415617957985
PRSS28	24.5334389286425
SCNN1G	23.9104966507842
GM31363	23.5788883878247
RRAGB	23.3006180464489
GM29155	22.6440380584051
KLC3	21.8491454523626
LYZL4OS	21.3147881961329
GM16325	20.8281394197227
GM9930	20.4358856331408
TRANK1	20.0254241443991
