GeneSymbols	Overall
CCL1	100
AMD1	92.2400815795661
GM12531	81.3930515370807
BC053393	77.6054464303182
GM21616	76.4980337170673
NRIP1	68.1337013743633
MHRT	66.4023450967595
GMPPB	66.342420643632
ST3GAL2	66.2645289351704
PLLP	65.839426389593
GM4419	60.4783141746225
CDC25B	60.3327151022573
VWA5B1	60.0842742980682
LOR	58.5169920022561
GRM2	58.3907847745138
H2-T3	56.7621112200692
DICER1	55.906375606994
ROBO3	55.803093376094
GM4944	55.7974545016137
C9	49.1067365475511
UBALD1	45.3904246376475
MRPL21	45.2414090924735
9430069I07RIK	44.0712398851369
GTF2IRD1	42.9851471145057
PDE6C	41.4149578162141
TOX2	41.3692066007595
TVP23B	37.3353413092633
GM2016	36.8685678953405
GM13211	36.227381872064
ARMCX4	35.9714608388469
E2F1	35.938860007807
SNX19	33.4439159789062
FLRT3	32.980849584919
FETUB	32.366170076524
CCSER2	31.0548445986707
OLFR166	30.9205585787907
DEPDC7	30.856511756876
RPAP1	29.8474341714783
OLFR1299	29.0115596150706
FOXN1	28.935898477329
DNAJC30	28.3644390835342
PAPLN	27.2602469936245
GM14391	26.7573615702833
GM10797	26.663378757866
ACAP1	26.5283738846461
TREML2	25.7823930785376
BEX2	25.7177184998219
IDO1	25.5951963269494
FBXL6	25.2078925795023
MCF2	24.3551119306008
CEP112	24.2235988733962
CYPT2	22.1976734622213
MTFR2	21.4489368050377
