GeneSymbols	Overall
EPHA8	100
KCNA6	67.6936261229706
PMPCA	65.2079943682708
CCER2	64.1709950961129
MRPL11	60.2072726795259
PROM2	58.0976084616391
SURF2	56.2059927614196
ZZEF1	50.8212819356337
AKIRIN1	45.7399609106726
E430018J23RIK	42.1408834131488
GM13056	41.5024082233561
TCERG1	40.9973740624179
INADL	40.1950224633321
CHRNG	38.6916588847959
DLL4	36.812865704005
FASTKD1	35.8946273515536
EIF1AD	32.4260622571812
COQ5	31.8758338279662
CHTF18	31.6952888770461
CHTF8	31.1963229074202
CMPK2	27.751461129934
CALB1	27.7225652349092
AMY1	25.7327494401974
PLPPR4	25.6209643790064
HIP1R	24.5213775211485
BBS5	23.38974448598
5031434C07RIK	22.4024775288032
MARK4	22.0833673083642
NUDT18	21.5496329339811
PLOD1	21.0841046469045
RORA	20.9972597196277
STRN	20.8888276560212
EFCC1	20.2954445060626
