GeneSymbols	Overall
GM28813	100
FHAD1	88.4821359118444
GM4737	88.1082120237192
GM28741	83.3960490199358
NAGA	68.1978761342227
PSG25	65.490032657894
ZFP516	64.8966661680549
S100Z	63.5800146539606
GM20631	56.1644285472317
PRSS37	55.1871379916067
VMN1R2	54.9145242916192
GM43050	53.5277338614598
DKK4	51.5430772498632
GM37982	49.7320864644592
GM12923	47.0925981885979
OLFR492	46.7735691266712
GM11983	38.5281085227882
RP23-191I16.3	37.1229493285253
RPL8	36.2475990878371
CFH	33.319301571994
PPP1R42	32.2777187062006
AADAC	31.2354036456926
CAP2	31.0375701117967
HLTF	30.3318366495539
OLFR1457	27.9692551731318
OLFR920	27.4341994147726
OLFR480	26.5418624388779
GM17079	25.7028785881905
ATP13A1	24.9962129068468
YIPF4	24.087481187097
PRICKLE4	23.5783822122524
GM20045	23.2150972448567
4930445N18RIK	22.82201477462
VMN1R142	20.7798008947692
