GeneSymbols	Overall
BRSK1	100
GM27188	88.7737427199767
GM906	88.7112421017795
COMMD3	71.980972866622
CNTNAP1	65.0478564079649
GM26688	64.6161680552724
SHARPIN	59.9124210381151
ABHD4	58.0756786236132
TEP1	57.5657787740339
TMEM17	56.7341226755046
CUEDC1	56.6462452266921
GIP	56.1019091089939
PRL8A8	54.0450381359597
GM14420	52.8780135909733
TRPV4	51.8520121958682
IGSF21	51.8315798004429
CDH12	50.971924507291
PVALB	49.6130077225156
OLFR544	46.1807287818833
GM13762	44.6197707716722
SBP	44.2074121291688
SPIRE1	44.0864251056198
GAPDH	42.6672403888989
PPP1R3E	42.6406931701203
PLA2G12A	41.6336242024534
KCNIP4	39.2565296234096
PAQR3	37.4694407455505
PPP1R12C	36.3096529339192
ECHS1	35.3153319873775
PRSS41	32.1636087783147
STXBP3	30.8419538787111
DMWD	30.6065075130663
NLRP4C	30.3018548052865
PARK7	29.5269115276012
4930433N12RIK	27.7037553389805
GM42948	27.2466227131589
WWOX	25.9583869292949
LCOR	25.9046533602952
KLF15	25.0186628911619
STAP1	23.5897956792618
1810062G17RIK	23.420862597
MED30	23.2068344768829
TBX15	22.9102303168701
WDPCP	22.7732375223916
SPRYD7	22.6993184860098
CHD1L	22.5121370632743
NCLN	22.4964148762119
CAGE1	21.5978509284934
HBA-A1	21.055042922693
