GeneSymbols	Overall
KRT17	100
GTF2H2	97.7795034479139
BRD3	91.08841580501
KLK4	88.1234614617706
1700012A03RIK	77.5927853403005
GM13152	75.1224265424719
GM13003	74.0801987494578
UGP2	73.309887341968
ZFP786	67.7930621738717
FAM118A	65.8425921318137
ST8SIA5	63.8939448617976
RIT2	63.1828190355142
DUPD1	61.9349458957526
FZD4	61.529868689361
GM37502	61.4839251985094
GM15328	60.2206068109073
CLDN18	55.5494455447871
SCFD2	51.8848724517773
ADAMTS2	51.2359724546038
AKAP8L	43.2597942125645
ZBBX	42.8900031448971
GM31363	42.3943631581952
LSR	41.6561472788906
A430027H14RIK	41.2469044104866
4930435C17RIK	38.0999650586287
GM26863	37.1810839754774
G730013B05RIK	37.1400073428152
MMP17	36.9123111603279
D3ERTD751E	36.3375204066697
APPL2	35.9675608368693
GM43446	35.8744131568128
GM13043	34.8522894226702
GM9930	34.3355724379734
SPAST	33.3691562275721
CACNA1B	32.6106681630497
BAIAP3	32.2889470120846
GM21859	32.0463132236096
FREM1	30.7649067976961
RBPJL	27.4473108232279
TRAF3IP3	27.0247290313627
MPP4	25.2017776332112
MPPED1	25.1720380299153
NIPAL1	24.2071369168074
XPC	24.0780736334026
NWD2	23.5968923835233
ZFP106	22.7184992128964
GM13977	21.6943747073273
STK24	21.108618648713
ANKRD61	20.0565782629951
