GeneSymbols	Overall
XLR	100
PROM2	97.7833410169178
RPS6KA5	94.2963971592207
FGL1	86.3999657758513
GDF15	77.6638658859671
NIPSNAP3B	72.3029253785176
EPHA8	68.4009312041926
MYSM1	53.0431868930178
TCAP	48.9143895419609
SURF2	46.7659380028454
CCER2	46.3524213541056
3300005D01RIK	45.585453362756
SMYD3	45.3153129536949
LHX1OS	42.2807820541952
CEBPE	41.2402115788854
GM44036	39.3784824813904
GM7879	37.5228216527675
GM15440	36.9020432186588
MAPK12	36.5444181502568
IER5	35.9681693236862
PGD	33.548162301716
C530025M09RIK	33.1589124199123
TTC7	33.0049414824764
CCNF	32.4107032707205
MAST2	31.8899882744677
6030468B19RIK	31.7778970118193
GPR101	31.6010290709055
CLPX	30.7716969585212
ATM	30.5031145399502
HUNK	30.3269702532277
INTS10	30.1790015233793
FAM167B	30.0326954376559
COQ5	30.0143152869308
ZZEF1	29.8798661619374
SLAMF9	29.7905809307575
GM26508	29.5880547134364
PGAP1	29.5863440332731
ZFP949	29.4055870872061
GM10912	29.1439312649605
XLR4A	29.0702859987329
GM16308	27.8473790349283
GM26761	27.683045041253
CALB1	27.5729291211864
GM13793	26.979063776989
CHTF8	26.9164620360443
CMPK2	25.488136839926
HHIPL2	25.1182643193068
NOL7	25.052788373909
ZIC5	24.6053636973613
INADL	24.5993189775798
C330013E15RIK	24.5808034159997
GM3278	24.3990421747312
CEP57	24.3934087506725
SEMA4B	24.3758873595193
GM13056	24.3116918736011
DHX34	24.064454395282
CST3	23.6603424940447
MYCL	22.9589646285648
GM20655	22.7973466207021
BC051628	22.5780763008884
B230217O12RIK	22.124720332607
EDEM2	21.1465424321957
CHRNA10	20.6043966828573
NRG1	20.591265224504
PIAS3	20.5437898755488
LIPE	20.3763419019937
PLPPR4	20.1142373144722
