GeneSymbols	Overall
ATP6V0C	100
PJA2	97.3350208673315
WASF1	90.8483695809109
PRRG3	90.0789735458143
GM7903	86.8988870827511
MSANTD4	79.2748846967888
HS3ST3B1	77.2797046856508
GM11508	76.7773174277948
GM9830	76.5421842579472
NEUROG2	72.5633146570504
GM5934	72.2055181615586
GM42893	71.273221967435
DPYSL4	70.6191448013583
EDAR	69.9696329391116
SYNCRIP	67.7462759125021
TSSK2	65.1715137861771
OLFR164	64.6493120856516
GM16555	63.4456336489162
TK1	63.0051419666512
SSRP1	61.7021392286818
NAGPA	61.4628071034287
SSMEM1	60.9021762672866
RARG	60.6652311588233
VMN1R216	60.3654923650765
MTM1	60.2972803921976
HIST1H2BH	59.9665294748145
SERPINB1A	59.8968948979077
APOL11A	59.2669741516157
GLRX5	59.0625218069829
EXPH5	59.0047022405104
GM11595	58.2565209223492
LAIR1	58.1939439676293
AQP2	57.9410884777679
4933406I18RIK	57.0892647262074
KRTAP4-6	56.7706213104345
GM2854	56.5418995972025
GM43154	55.8063720024105
4933412E24RIK	55.3742853802172
SYT5	55.0703739562692
GM27232	55.0380789735058
VMN1R220	55.0090465131256
ZIC2	55.0035461700242
HIST1H2BR	54.3331628288668
GM17033	54.1728498299549
OLFR1282	53.5555939704811
6430531B16RIK	53.3344801836194
SFMBT2	53.2305251687801
SERPINA3M	53.1580023456277
GM17206	52.5108627036085
EEF2K	52.405033553394
ATG16L1	52.2101668536276
PYDC4	52.1860247551825
4933427G17RIK	51.963080075556
LPAR6	51.4493949301226
PNLIP	50.421066933511
GM14482	50.1837499576712
ZSWIM4	49.5711286030816
GM33651	49.5657652462024
SECISBP2L	49.5067733755949
EPB41L2	49.3004821792256
OLFR1368	49.2875374152796
GM17522	48.6355176204314
ZMAT3	48.5629182722214
TMEM52	48.1345340072078
GM13881	48.0611604335017
EOMES	47.8598573627434
GM14419	47.6940129266563
SLX1B	47.4964198898892
IL9R	47.0082178720803
GM17268	46.8387557561506
GTF2F1	46.6596712041047
FBXO30	46.4504831121799
HIST1H4M	46.1632216434441
1700020L24RIK	45.80509278119
GM28515	45.7401053931584
1600002H07RIK	45.5715107665026
GM15013	45.4885094767028
PPP1R14A	45.2357289644872
SCN9A	45.221878969456
GM14479	45.1628614180919
MRPS36	44.5874436694122
BTBD18	44.4586711598086
TCFL5	44.2031197264704
2410080I02RIK	43.9547132606192
GM2964	43.8591195668836
GM8113	43.5064142439424
ADGRA1	43.3418141443919
TTC5	43.212303903554
CLDN34C4	43.0808135514732
VMN1R213	42.7007975429165
GM13269	42.573372081463
AGPAT2	42.549830271205
RP23-336F11.36	42.3696607707297
DNMT3AOS	42.3313844555381
COX14	42.004973036174
GM20443	40.9119855127678
CASP6	40.7910401908146
KRT74	40.6749241856284
CSGALNACT1	40.6339829178584
GM21961	40.5223111354303
1700047M11RIK	40.40269798556
GM5535	39.9441021370186
ARMCX5	39.8658172339195
OSR2	39.8425519129153
ASTX1B	39.6268611276619
FNDC8	39.4328869439828
BCL2	39.1430487056705
HOXC12	38.7538704894572
SLFN5	38.3764049292523
SFXN3	38.3643950341763
GM34882	38.3342141340904
GM20635	38.312374391704
TMEM253	38.279962808863
ZRANB1	38.1895456347513
1600019K03RIK	38.0220331015486
GALE	37.9670710241758
GM33051	37.9061378333366
IL15	37.6245451228876
CLDN34C3	37.4953102542298
NUP188	37.4886785517037
GM20522	37.4609664009708
GM26818	37.3803344113743
MAF	37.2335766469377
CES1F	37.1899868540788
A930019D19RIK	37.1679863838781
SMPD4	37.1090821754845
GM14764	36.669427221988
TOMM6OS	36.665331981878
ZFP960	36.5371187594707
LONP1	36.5039940206113
AZGP1	36.3439814807204
ANKRD29	36.0556508006521
CCDC18	35.8982574239964
PLEKHO2	35.784124070593
GM2784	35.6717435063774
VMP1	35.6097433236526
GM37229	35.3820059108385
PAN2	35.3373487118483
BC068281	34.9124192748585
ERCC5	34.7888388554609
ELOVL3	34.4917808093254
CRY2	34.0677947012738
POLR2L	34.0671132105756
LRRC49	34.0455952865964
QPRT	33.9660249726124
D630044L22RIK	33.779112629332
QDPR	33.7632977378649
KDM5A	33.718349187405
UEVLD	33.6819442876341
TMEM25	33.6676159309526
ADGRG3	33.5482113213041
GM20642	33.5121462085147
1700003L19RIK	33.330132378028
COX8C	33.1806127797756
FAM64A	33.0496568729238
RP23-353F16.3	32.5706143224402
D2WSU81E	32.2006658982261
TCP11X2	32.0918296030783
SOX10	32.0270448739636
CDH6	31.9780863971329
SIGLEC1	31.9463938189872
ARF3	31.9189633691563
GM42889	31.8944677555171
RP24-294M17.5	31.8602205250384
PNMAL1	31.7526267046335
ADAMTS17	31.453938039679
2510039O18RIK	31.3709725496226
CCNB1IP1	31.0994683608282
GM5441	31.0958729584255
H1F0	31.0789698486804
1700110C19RIK	31.0710322512566
TEKT5	30.7182691228455
H2-DMB1	30.7145611868544
TEX33	30.6487306245161
CRBN	30.3533218307756
GOLM1	30.2635617713886
GM5072	30.1566613930369
ELP3	30.0554563947544
TMEM216	29.8345202665304
CADM1	29.0750207161764
GM15972	28.68326720738
EIF2AK3	28.6258657435375
GM3625	28.6195045272308
IGDCC3	28.379180162517
OLFR161	28.1098272476419
GM12681	27.9500505645993
DYNLT1A	27.8962372685127
OLFR19	27.8789332667236
IL7	27.8757864824872
GPR157	27.8629114076559
GM3701	27.4385447133839
RBP7	26.8339730696346
BC100451	26.7818617038016
ZFP41	26.6974000891359
STOML1	26.522923400487
SEL1L2	26.5194447748036
MSLN	25.9421303640546
ALDH1A3	25.9342770341133
UPF3B	25.8990137616034
FEM1B	25.8907897822624
SPC25	25.7762371520919
OLFR283	25.731089558293
A930006I01RIK	25.6893382330895
GM15056	25.5533267276541
HIST1H2AH	25.3696710354333
GM20498	25.317817374681
GM15646	25.264043831703
SNHG20	24.6381804836132
SARDH	24.608758456388
FANCD2OS	24.5873144375983
OLFR1315-PS1	24.3649672984951
GM5478	24.2721030936348
FBXW10	24.1316378805493
SPTLC3	24.0696755001297
4930548G14RIK	23.8876241067633
GM10440	23.6652439299864
HAPLN2	23.5838198996905
RNMTL1	23.3956510538456
GM3604	23.2672767505954
PRL	23.2219355770614
CBY1	23.0019078743326
1700084M14RIK	22.860949018227
A330017A19RIK	22.8526218197187
FAM101A	22.8206946560499
1700063D05RIK	22.7625612824619
TPGS1	22.6714038831253
PLP1	22.5617551665511
RAB26	22.4901265338324
MRE11A	22.4577589022222
ZFP68	22.4482866363069
GJB1	22.4319660546965
FANCC	22.3220994259711
BICD1	22.2168405085788
BASP1	22.1240782983413
LRMP	22.1142185681073
SART3	22.1141213921189
ALDH5A1	22.0990245991273
GM15883	22.0370161133154
TIE1	21.7483289127073
D930019O06RIK	21.7303516625111
NPTN	21.7187201023903
A830008E24RIK	21.6778458478523
GM15945	21.6398891884244
RTCA	21.588208339191
OLFR285	21.5392924393897
GM5239	21.5237974510534
A230001M10RIK	21.5230833491885
GM9964	21.4530064451228
TMEM50B	21.3631748622668
SLC17A3	21.3363910597776
GOLGA3	21.3038692064413
LY6F	21.2788222344899
2010007H06RIK	21.270678686908
GM28111	21.182556734913
ZDHHC25	21.166434893104
GM10487	21.060102528218
GATC	21.0055749925403
GNGT2	20.9848653473782
ARL4D	20.9598885848767
ASCL1	20.8756924831003
GM20186	20.8101032501934
CDC14B	20.80162837067
BCL2L11	20.6957260724517
HNRNPL	20.3166021146166
NMNAT3	20.2621312016731
GM14024	20.0631965191014
